4,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field FROM PhotoPrimary AS p WHERE p.objid = #"
2019-05-30 23:32:00,1
2019-05-30 23:33:00,1
2019-05-30 23:34:00,2
