710,"SELECT s.ra, s.dec, s.plate, s.mjd, s.fiberid, s.z, s.zerr, s.class, s.subclass, s.tfile, s.snmedian FROM SpecObj as s WHERE s.specObjID = dbo.fGetNearestSpecObjIdEq(#,#,#) AND s.zWarning = # AND s.class = &&&"
2019-11-12 00:01:00,6
2019-11-12 00:02:00,10
2019-11-12 00:03:00,9
2019-11-12 00:04:00,10
2019-11-12 00:05:00,10
2019-11-12 00:06:00,10
2019-11-12 00:07:00,11
2019-11-12 00:08:00,10
2019-11-12 00:09:00,11
2019-11-12 00:10:00,10
2019-11-12 00:11:00,10
2019-11-12 00:12:00,11
2019-11-12 00:13:00,10
2019-11-12 00:14:00,10
2019-11-12 00:15:00,11
2019-11-12 00:16:00,4
2019-11-12 01:02:00,2
2019-11-12 01:03:00,6
2019-11-12 01:04:00,6
2019-11-12 01:07:00,7
2019-11-12 01:08:00,10
2019-11-12 01:09:00,9
2019-11-12 01:10:00,9
2019-11-12 01:11:00,6
2019-11-12 01:17:00,4
2019-11-12 01:18:00,5
2019-11-12 01:19:00,6
2019-11-12 01:20:00,9
2019-11-12 01:21:00,3
2019-11-12 01:24:00,8
2019-11-12 01:25:00,9
2019-11-12 01:26:00,9
2019-11-12 01:27:00,9
2019-11-12 01:28:00,9
2019-11-12 01:29:00,9
2019-11-12 01:30:00,9
2019-11-12 01:31:00,9
2019-11-12 01:32:00,10
2019-11-12 01:33:00,8
2019-11-12 01:34:00,10
2019-11-12 01:35:00,9
2019-11-12 01:36:00,9
2019-11-12 01:37:00,8
2019-11-12 01:38:00,9
2019-11-12 01:39:00,9
2019-11-12 01:40:00,10
2019-11-12 01:41:00,11
2019-11-12 01:42:00,10
2019-11-12 01:43:00,11
2019-11-12 01:44:00,10
2019-11-12 01:48:00,6
2019-11-12 01:49:00,8
2019-11-12 01:50:00,9
2019-11-12 01:51:00,9
2019-11-12 01:52:00,9
2019-11-12 01:53:00,9
2019-11-12 01:54:00,9
2019-11-12 01:55:00,9
2019-11-12 01:56:00,9
2019-11-12 01:57:00,10
2019-11-12 01:58:00,8
2019-11-12 01:59:00,10
2019-11-12 02:00:00,10
2019-11-12 02:01:00,8
2019-11-12 02:02:00,9
2019-11-12 02:03:00,9
2019-11-12 02:04:00,8
2019-11-12 02:05:00,11
2019-11-12 02:06:00,11
2019-11-12 02:07:00,10
2019-11-12 02:08:00,11
2019-11-12 02:09:00,10
2019-11-12 02:10:00,11
2019-11-12 02:11:00,11
2019-11-12 02:12:00,10
2019-11-12 02:13:00,10
2019-11-12 02:14:00,11
2019-11-12 02:15:00,11
2019-11-12 02:16:00,10
2019-11-12 02:17:00,4
