964,"select top # p.*,   s.z as zspec,   s.zErr as zspec_err, s.zWarning, s.class,   s.subclass, s.primTarget,   s.spectroFlux_u, s.spectroFlux_g, s.spectroFlux_r, s.spectroFlux_i, s.spectroFlux_z,   s.spectroFluxIvar_u, s.spectroFluxIvar_g, s.spectroFluxIvar_r, s.spectroFluxIvar_i, s.spectroFluxIvar_z,   s.snMedian_u, s.snMedian_g, s.snMedian_r, s.snMedian_i, s.snMedian_z  from Galaxy as p, SpecObj as s  where   p.mode = # AND s.zWarning = # AND p.specObjId = s.specObjId AND p.clean = #   AND p.ra > # AND p.ra < # AND p.dec > # AND p.dec < #"
2019-11-12 16:49:00,70
2019-11-12 16:50:00,71
2019-11-12 16:51:00,25
2019-11-12 16:52:00,28
2019-11-12 16:53:00,37
2019-11-12 16:54:00,7
2019-11-12 16:55:00,11
2019-11-12 16:56:00,16
2019-11-12 16:57:00,27
2019-11-12 16:58:00,20
2019-11-12 16:59:00,13
2019-11-12 17:00:00,20
2019-11-12 17:01:00,27
2019-11-12 17:02:00,9
2019-11-12 17:03:00,1
2019-11-12 17:04:00,19
2019-11-12 17:05:00,10
2019-11-12 17:06:00,13
2019-11-12 17:07:00,32
2019-11-12 17:08:00,7
2019-11-12 17:09:00,21
2019-11-12 17:10:00,16
2019-11-12 17:11:00,18
2019-11-12 17:12:00,16
2019-11-12 17:13:00,26
2019-11-12 17:14:00,11
2019-11-12 17:15:00,24
2019-11-12 17:16:00,13
2019-11-12 17:17:00,31
2019-11-12 17:18:00,38
2019-11-12 17:19:00,13
2019-11-12 17:20:00,26
2019-11-12 17:21:00,21
2019-11-12 17:22:00,17
2019-11-12 17:23:00,7
2019-11-12 17:24:00,10
2019-11-12 17:25:00,20
2019-11-12 17:26:00,45
2019-11-12 17:27:00,20
2019-11-12 17:28:00,14
2019-11-12 17:29:00,8
2019-11-12 17:30:00,14
2019-11-12 17:31:00,22
2019-11-12 17:32:00,13
2019-11-12 17:33:00,15
2019-11-12 17:34:00,20
2019-11-12 17:35:00,2
