3,"SELECT TOP # objID, ra, dec, cModelMag_g  FROM Galaxy  WHERE ra BETWEEN # AND #    AND dec < #   AND cModelMag_g BETWEEN # AND #"
2019-11-12 08:33:00,1
2019-11-12 09:12:00,2
