28,"SELECT p.objId, p.ra,p.dec,p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z, s.plate, s.mjd, s.fiberid, n.sersic_n FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid    JOIN nsatlas AS n ON n.mjd = s.mjd and n.fiberID = s.fiberID and n.plate = s.plate WHERE p.petror9#_r > #   and p.ra between # and #   and s.z between # and #   and p.g < #"
2019-11-12 11:09:00,1
2019-11-12 11:22:00,1
2019-11-12 11:23:00,1
2019-11-12 11:24:00,1
2019-11-12 11:26:00,1
2019-11-12 11:30:00,2
2019-11-12 11:32:00,3
2019-11-12 11:33:00,1
2019-11-12 11:34:00,1
2019-11-12 11:35:00,2
2019-11-12 11:49:00,1
2019-11-12 11:51:00,1
2019-11-12 12:02:00,2
2019-11-12 12:03:00,3
2019-11-12 12:04:00,1
2019-11-12 12:05:00,1
2019-11-12 12:07:00,1
2019-11-12 12:09:00,1
2019-11-12 12:11:00,1
2019-11-12 12:13:00,1
2019-11-12 16:06:00,1
