44,"SELECT TOP #  p.objid,p.ra,p.dec,petroMag_u,petroMagErr_u,petroMag_g,petroMagErr_g,petroMag_r,petroMagErr_r,petroMag_i,petroMagErr_i,petroMag_z,petroMagErr_z FROM PhotoObj AS p WHERE   p.objid = #"
2019-11-12 00:00:00,1
2019-11-12 00:01:00,1
2019-11-12 00:02:00,1
2019-11-12 00:03:00,1
2019-11-12 21:37:00,1
2019-11-12 21:38:00,1
2019-11-12 21:39:00,1
2019-11-12 21:40:00,1
2019-11-12 21:41:00,1
2019-11-12 21:42:00,2
2019-11-12 21:45:00,1
2019-11-12 21:46:00,1
2019-11-12 21:53:00,1
2019-11-12 21:56:00,1
2019-11-12 21:58:00,1
2019-11-12 22:00:00,1
2019-11-12 22:03:00,1
2019-11-12 22:05:00,1
2019-11-12 22:06:00,2
2019-11-12 22:07:00,1
2019-11-12 22:10:00,1
2019-11-12 22:11:00,2
2019-11-12 22:12:00,2
2019-11-12 22:13:00,1
2019-11-12 22:14:00,1
2019-11-12 22:15:00,1
2019-11-12 22:18:00,1
2019-11-12 22:19:00,1
2019-11-12 22:20:00,1
2019-11-12 22:21:00,2
2019-11-12 22:23:00,1
2019-11-12 22:28:00,2
2019-11-12 22:29:00,1
2019-11-12 22:30:00,2
2019-11-12 22:31:00,1
2019-11-12 22:32:00,1
2019-11-12 22:34:00,1
