374,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.raErr, p.decErr, p.psfMag_u,p.psfMag_g,p.psfMag_r,p.psfMag_i,p.psfMag_z, p.psfMagErr_u,p.psfMagErr_g,p.psfMagErr_r,p.psfMagErr_i,p.psfMagErr_z, p.petroR5#_u,p.petroR5#_g,p.petroR5#_r,p.petroR5#_i,p.petroR5#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMagErr_u,p.modelMagErr_g,p.modelMagErr_r,p.modelMagErr_i,p.modelMagErr_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-11-12 13:54:00,2
2019-11-12 13:55:00,2
2019-11-12 13:56:00,3
2019-11-12 13:57:00,2
2019-11-12 13:58:00,3
2019-11-12 13:59:00,2
2019-11-12 14:00:00,1
2019-11-12 14:01:00,1
2019-11-12 14:02:00,1
2019-11-12 14:03:00,1
2019-11-12 14:04:00,1
2019-11-12 14:05:00,2
2019-11-12 14:06:00,1
2019-11-12 14:07:00,2
2019-11-12 14:08:00,1
2019-11-12 14:09:00,2
2019-11-12 14:10:00,2
2019-11-12 14:11:00,1
2019-11-12 14:12:00,2
2019-11-12 14:13:00,1
2019-11-12 14:14:00,2
2019-11-12 14:15:00,1
2019-11-12 14:16:00,2
2019-11-12 14:19:00,1
2019-11-12 14:20:00,2
2019-11-12 14:21:00,4
2019-11-12 14:22:00,4
2019-11-12 14:23:00,3
2019-11-12 14:24:00,3
2019-11-12 14:25:00,1
2019-11-12 14:26:00,1
2019-11-12 14:27:00,3
2019-11-12 14:28:00,4
2019-11-12 14:29:00,3
2019-11-12 14:30:00,3
2019-11-12 14:31:00,3
2019-11-12 14:32:00,3
2019-11-12 14:33:00,3
2019-11-12 14:34:00,4
2019-11-12 14:35:00,3
2019-11-12 14:36:00,4
2019-11-12 14:37:00,5
2019-11-12 14:38:00,3
2019-11-12 14:39:00,4
2019-11-12 14:40:00,2
2019-11-12 14:41:00,3
2019-11-12 14:42:00,3
2019-11-12 14:43:00,4
2019-11-12 14:44:00,3
2019-11-12 14:45:00,3
2019-11-12 14:46:00,4
2019-11-12 14:47:00,3
2019-11-12 14:48:00,1
2019-11-12 14:49:00,1
2019-11-12 14:50:00,1
2019-11-12 14:51:00,1
2019-11-12 14:52:00,3
2019-11-12 14:53:00,1
2019-11-12 14:54:00,1
2019-11-12 14:55:00,1
2019-11-12 14:56:00,1
2019-11-12 14:57:00,2
2019-11-12 14:58:00,4
2019-11-12 14:59:00,2
2019-11-12 15:00:00,3
2019-11-12 15:01:00,3
2019-11-12 15:02:00,4
2019-11-12 15:03:00,1
2019-11-12 15:04:00,1
2019-11-12 15:05:00,3
2019-11-12 15:06:00,2
2019-11-12 15:07:00,2
2019-11-12 15:08:00,3
2019-11-12 15:09:00,1
2019-11-12 15:10:00,3
2019-11-12 15:11:00,3
2019-11-12 15:12:00,4
2019-11-12 15:13:00,3
2019-11-12 15:14:00,4
2019-11-12 15:15:00,3
2019-11-12 15:16:00,4
2019-11-12 15:17:00,2
2019-11-12 15:18:00,1
2019-11-12 15:19:00,5
2019-11-12 15:20:00,4
2019-11-12 15:21:00,4
2019-11-12 15:22:00,4
2019-11-12 15:23:00,2
2019-11-12 15:24:00,4
2019-11-12 15:25:00,4
2019-11-12 15:26:00,3
2019-11-12 15:27:00,4
2019-11-12 15:28:00,4
2019-11-12 15:29:00,4
2019-11-12 15:30:00,3
2019-11-12 15:31:00,3
2019-11-12 15:32:00,1
2019-11-12 15:34:00,4
2019-11-12 15:35:00,5
2019-11-12 15:36:00,4
2019-11-12 15:37:00,3
2019-11-12 15:38:00,2
2019-11-12 15:39:00,2
2019-11-12 15:40:00,4
2019-11-12 15:41:00,3
2019-11-12 15:42:00,4
2019-11-12 15:43:00,4
2019-11-12 15:44:00,2
2019-11-12 15:45:00,1
2019-11-12 15:46:00,2
2019-11-12 15:47:00,1
2019-11-12 15:48:00,2
2019-11-12 15:49:00,4
2019-11-12 15:50:00,4
2019-11-12 15:51:00,4
2019-11-12 15:52:00,2
2019-11-12 15:53:00,2
2019-11-12 15:54:00,3
2019-11-12 15:55:00,4
2019-11-12 15:56:00,3
2019-11-12 15:57:00,4
2019-11-12 15:58:00,4
2019-11-12 15:59:00,2
2019-11-12 16:00:00,1
2019-11-12 16:01:00,1
2019-11-12 16:02:00,2
2019-11-12 16:03:00,1
2019-11-12 16:04:00,4
2019-11-12 16:05:00,3
2019-11-12 16:06:00,1
2019-11-12 16:07:00,3
2019-11-12 16:08:00,5
2019-11-12 16:09:00,4
2019-11-12 16:10:00,3
2019-11-12 16:11:00,3
2019-11-12 16:12:00,1
2019-11-12 16:13:00,1
2019-11-12 16:14:00,2
2019-11-12 16:15:00,3
2019-11-12 16:16:00,3
2019-11-12 16:17:00,1
2019-11-12 18:27:00,2
2019-11-12 18:30:00,1
2019-11-12 18:31:00,2
2019-11-12 18:32:00,1
2019-11-12 18:33:00,1
2019-11-12 18:34:00,1
