83,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-11-12 15:55:00,7
2019-11-12 15:56:00,3
2019-11-12 15:57:00,10
2019-11-12 15:59:00,10
2019-11-12 16:01:00,10
2019-11-12 16:03:00,10
2019-11-12 16:04:00,1
2019-11-12 16:05:00,9
2019-11-12 16:07:00,6
2019-11-12 16:08:00,7
2019-11-12 16:09:00,4
2019-11-12 16:10:00,6
