2,"select top # G.objID, G.ra, G.dec from Galaxy as G, photoz as p, dbo.fGetNearbyObjEq(#,#,#) as N where G.objID = N.objID and G.objID = p.objID"
2019-11-12 20:58:00,1
2019-11-12 21:16:00,1
