10014,"select top # haloid , lastprogenitorid, mainleafid, m_crit2#, d.np   from MR d  where snapnum=#                      -- reshift=#    and firsthaloinfofgroupid=d.haloid  -- centers of FOF groups    and m_crit2# between # and #  order by newid()                      -- random sub sample ) select d.haloid as d_id, d.m_crit2# as d_mass, d.np as d_np ,      p.haloId,p.x,p.y,p.z,p.snapnum,p.mainLeafId,p.halfMassRadius,p.m_crit2#,p.np   from descendants d       inner join MR p         on p.haloid between d.haloid and d.lastprogenitorid order by d.haloid, p.haloid"
2019-05-07 13:34:00,128
2019-05-07 13:35:00,178
2019-05-07 13:36:00,165
2019-05-07 13:37:00,169
2019-05-07 13:38:00,174
2019-05-07 13:39:00,165
2019-05-07 13:40:00,168
2019-05-07 13:41:00,165
2019-05-07 13:42:00,172
2019-05-07 13:43:00,175
2019-05-07 13:44:00,172
2019-05-07 13:45:00,165
2019-05-07 13:46:00,174
2019-05-07 13:47:00,172
2019-05-07 13:48:00,174
2019-05-07 13:49:00,176
2019-05-07 13:50:00,174
2019-05-07 13:51:00,174
2019-05-07 13:52:00,169
2019-05-07 13:53:00,159
2019-05-07 13:54:00,164
2019-05-07 13:55:00,173
2019-05-07 13:56:00,171
2019-05-07 13:57:00,158
2019-05-07 13:58:00,169
2019-05-07 13:59:00,175
2019-05-07 14:00:00,53
2019-05-07 14:01:00,169
2019-05-07 14:02:00,174
2019-05-07 14:03:00,175
2019-05-07 14:04:00,169
2019-05-07 14:05:00,177
2019-05-07 14:06:00,173
2019-05-07 14:07:00,171
2019-05-07 14:08:00,174
2019-05-07 14:09:00,176
2019-05-07 14:10:00,175
2019-05-07 14:11:00,173
2019-05-07 14:12:00,178
2019-05-07 14:13:00,177
2019-05-07 14:14:00,164
2019-05-07 14:15:00,180
2019-05-07 14:16:00,172
2019-05-07 14:17:00,170
2019-05-07 14:18:00,175
2019-05-07 14:19:00,164
2019-05-07 14:20:00,174
2019-05-07 14:21:00,169
2019-05-07 14:22:00,179
2019-05-07 14:23:00,175
2019-05-07 14:24:00,175
2019-05-07 14:25:00,171
2019-05-07 14:26:00,171
2019-05-07 14:27:00,120
2019-05-07 14:28:00,89
2019-05-07 14:29:00,73
2019-05-07 14:30:00,2
2019-05-07 14:44:00,53
2019-05-07 14:45:00,163
2019-05-07 14:46:00,164
2019-05-07 14:47:00,162
2019-05-07 14:48:00,131
2019-05-07 14:49:00,43
2019-05-07 14:50:00,40
2019-05-07 14:51:00,32
2019-05-07 14:52:00,11
