18,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-05-07 10:43:00,1
2019-05-07 15:17:00,1
2019-05-07 15:24:00,1
2019-05-07 17:06:00,1
2019-05-07 17:15:00,1
2019-05-07 17:19:00,1
2019-05-07 17:20:00,1
2019-05-07 17:22:00,1
2019-05-07 17:23:00,1
2019-05-07 17:24:00,1
2019-05-07 17:25:00,3
2019-05-07 17:26:00,1
2019-05-07 17:28:00,1
2019-05-07 17:36:00,1
2019-05-07 17:46:00,1
2019-05-07 20:33:00,1
