2,"SELECT DISTINCT p.ra, p.dec, p.fiberMag_g, p.fiberMag_r, p.fiberMag_z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-07 21:44:00,1
2019-05-07 21:50:00,1
