18,"SELECT up_id, dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) as SpecobjId   FROM #upload WHERE dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&,&&&, @log=#, @filter=#"
2019-05-07 07:20:00,1
2019-05-07 07:33:00,1
2019-05-07 07:46:00,1
2019-05-07 07:52:00,1
2019-05-07 07:56:00,1
2019-05-07 07:59:00,2
2019-05-07 08:00:00,1
2019-05-07 08:10:00,2
2019-05-07 08:12:00,1
2019-05-07 08:16:00,1
2019-05-07 08:24:00,2
2019-05-07 12:29:00,1
2019-05-07 13:15:00,1
2019-05-07 13:40:00,2
