69,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-05-07 07:20:00,1
2019-05-07 07:25:00,1
2019-05-07 10:05:00,2
2019-05-07 10:35:00,4
2019-05-07 14:05:00,4
2019-05-07 14:10:00,1
2019-05-07 14:35:00,1
2019-05-07 15:05:00,2
2019-05-07 15:10:00,2
2019-05-07 15:15:00,1
2019-05-07 16:05:00,1
2019-05-07 16:10:00,1
2019-05-07 16:25:00,2
2019-05-07 16:30:00,2
2019-05-07 20:05:00,1
2019-05-07 22:05:00,19
2019-05-07 22:06:00,1
2019-05-07 22:10:00,15
2019-05-07 22:11:00,8
