22092,"select p.*   from dbo.MillenniumParticlesPosVel(#,&&&) p"
2019-05-07 04:43:00,1
2019-05-07 04:57:00,1
2019-05-07 04:59:00,1
2019-05-07 05:17:00,1
2019-05-07 05:27:00,1
2019-05-07 05:33:00,1
2019-05-07 05:37:00,8
2019-05-07 05:38:00,14
2019-05-07 05:39:00,15
2019-05-07 05:40:00,14
2019-05-07 05:41:00,15
2019-05-07 05:42:00,16
2019-05-07 05:43:00,16
2019-05-07 05:44:00,14
2019-05-07 05:45:00,15
2019-05-07 05:46:00,15
2019-05-07 05:47:00,13
2019-05-07 05:48:00,16
2019-05-07 05:49:00,12
2019-05-07 05:50:00,15
2019-05-07 05:51:00,15
2019-05-07 05:52:00,15
2019-05-07 05:53:00,14
2019-05-07 05:54:00,15
2019-05-07 05:55:00,16
2019-05-07 05:56:00,14
2019-05-07 05:57:00,12
2019-05-07 05:58:00,16
2019-05-07 05:59:00,15
2019-05-07 06:00:00,13
2019-05-07 06:03:00,4
2019-05-07 06:04:00,14
2019-05-07 06:05:00,14
2019-05-07 06:06:00,14
2019-05-07 06:07:00,14
2019-05-07 06:08:00,15
2019-05-07 06:09:00,16
2019-05-07 06:10:00,16
2019-05-07 06:11:00,16
2019-05-07 06:12:00,14
2019-05-07 06:13:00,14
2019-05-07 06:14:00,14
2019-05-07 06:15:00,13
2019-05-07 06:16:00,14
2019-05-07 06:17:00,15
2019-05-07 06:18:00,16
2019-05-07 06:19:00,16
2019-05-07 06:20:00,14
2019-05-07 06:21:00,13
2019-05-07 06:22:00,13
2019-05-07 06:23:00,15
2019-05-07 06:24:00,14
2019-05-07 06:25:00,13
2019-05-07 06:26:00,14
2019-05-07 06:27:00,14
2019-05-07 06:28:00,15
2019-05-07 06:29:00,15
2019-05-07 06:30:00,16
2019-05-07 06:31:00,16
2019-05-07 06:32:00,15
2019-05-07 06:33:00,14
2019-05-07 06:34:00,15
2019-05-07 06:35:00,13
2019-05-07 06:36:00,15
2019-05-07 06:37:00,16
2019-05-07 06:38:00,14
2019-05-07 06:39:00,13
2019-05-07 06:40:00,14
2019-05-07 06:41:00,16
2019-05-07 06:42:00,15
2019-05-07 06:43:00,16
2019-05-07 06:44:00,12
2019-05-07 06:45:00,9
2019-05-07 06:46:00,11
2019-05-07 06:47:00,9
2019-05-07 06:48:00,9
2019-05-07 06:49:00,8
2019-05-07 06:50:00,9
2019-05-07 06:51:00,10
2019-05-07 06:52:00,9
2019-05-07 06:53:00,10
2019-05-07 06:54:00,9
2019-05-07 06:55:00,10
2019-05-07 06:56:00,10
2019-05-07 06:57:00,10
2019-05-07 06:58:00,10
2019-05-07 06:59:00,9
2019-05-07 07:00:00,7
2019-05-07 07:01:00,10
2019-05-07 07:02:00,8
2019-05-07 07:03:00,10
2019-05-07 07:04:00,9
2019-05-07 07:05:00,11
2019-05-07 07:06:00,8
2019-05-07 07:07:00,10
2019-05-07 07:08:00,9
2019-05-07 07:09:00,9
2019-05-07 07:10:00,9
2019-05-07 07:11:00,10
2019-05-07 07:12:00,9
2019-05-07 07:13:00,9
2019-05-07 07:14:00,9
2019-05-07 07:15:00,10
2019-05-07 07:16:00,11
2019-05-07 07:17:00,9
2019-05-07 07:18:00,10
2019-05-07 07:19:00,10
2019-05-07 07:20:00,9
2019-05-07 07:21:00,11
2019-05-07 07:22:00,9
2019-05-07 07:23:00,8
2019-05-07 07:24:00,9
2019-05-07 07:25:00,11
2019-05-07 07:26:00,10
2019-05-07 07:27:00,9
2019-05-07 07:28:00,10
2019-05-07 07:29:00,9
2019-05-07 07:30:00,10
2019-05-07 07:31:00,9
2019-05-07 07:32:00,11
2019-05-07 07:33:00,10
2019-05-07 07:34:00,10
2019-05-07 07:35:00,10
2019-05-07 07:36:00,10
2019-05-07 07:37:00,9
2019-05-07 07:38:00,10
2019-05-07 07:39:00,11
2019-05-07 07:40:00,9
2019-05-07 07:41:00,9
2019-05-07 07:42:00,9
2019-05-07 07:43:00,11
2019-05-07 07:44:00,9
2019-05-07 07:45:00,9
2019-05-07 07:46:00,11
2019-05-07 07:47:00,9
2019-05-07 07:48:00,11
2019-05-07 07:49:00,10
2019-05-07 07:50:00,10
2019-05-07 07:51:00,10
2019-05-07 07:52:00,8
2019-05-07 07:53:00,10
2019-05-07 07:54:00,9
2019-05-07 07:55:00,7
2019-05-07 07:56:00,10
2019-05-07 07:57:00,11
2019-05-07 07:58:00,7
2019-05-07 07:59:00,9
2019-05-07 08:00:00,10
2019-05-07 08:01:00,10
2019-05-07 08:02:00,9
2019-05-07 08:03:00,9
2019-05-07 08:04:00,9
2019-05-07 08:05:00,9
2019-05-07 08:06:00,9
2019-05-07 08:07:00,10
2019-05-07 08:08:00,9
2019-05-07 08:09:00,10
2019-05-07 08:10:00,8
2019-05-07 08:11:00,11
2019-05-07 08:12:00,10
2019-05-07 08:13:00,10
2019-05-07 08:14:00,9
2019-05-07 08:15:00,9
2019-05-07 08:16:00,10
2019-05-07 08:17:00,9
2019-05-07 08:18:00,10
2019-05-07 08:19:00,11
2019-05-07 08:20:00,8
2019-05-07 08:21:00,10
2019-05-07 08:22:00,10
2019-05-07 08:23:00,9
2019-05-07 08:24:00,10
2019-05-07 08:25:00,10
2019-05-07 08:26:00,10
2019-05-07 08:27:00,9
2019-05-07 08:28:00,9
2019-05-07 08:29:00,10
2019-05-07 08:30:00,9
2019-05-07 08:31:00,9
