132,"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns(&&&) ORDER BY [columnID]"
2019-05-07 00:11:00,1
2019-05-07 00:12:00,1
2019-05-07 03:15:00,1
2019-05-07 04:25:00,1
2019-05-07 04:26:00,1
2019-05-07 06:14:00,1
2019-05-07 07:58:00,3
2019-05-07 07:59:00,9
2019-05-07 08:00:00,7
2019-05-07 08:01:00,2
2019-05-07 08:02:00,2
2019-05-07 08:03:00,1
2019-05-07 08:06:00,2
2019-05-07 08:07:00,1
2019-05-07 08:08:00,4
2019-05-07 08:09:00,2
2019-05-07 08:10:00,2
2019-05-07 08:15:00,3
2019-05-07 08:16:00,2
2019-05-07 08:39:00,1
2019-05-07 09:17:00,1
2019-05-07 09:28:00,1
2019-05-07 09:37:00,1
2019-05-07 09:48:00,1
2019-05-07 09:54:00,2
2019-05-07 09:55:00,2
2019-05-07 09:56:00,2
2019-05-07 09:57:00,1
2019-05-07 11:05:00,1
2019-05-07 11:32:00,1
2019-05-07 11:50:00,1
2019-05-07 11:54:00,1
2019-05-07 12:05:00,1
2019-05-07 12:06:00,3
2019-05-07 12:07:00,2
2019-05-07 12:13:00,1
2019-05-07 13:11:00,1
2019-05-07 13:12:00,2
2019-05-07 13:13:00,2
2019-05-07 13:52:00,1
2019-05-07 13:53:00,1
2019-05-07 13:55:00,2
2019-05-07 13:56:00,1
2019-05-07 15:30:00,1
2019-05-07 16:36:00,1
2019-05-07 16:39:00,2
2019-05-07 16:49:00,1
2019-05-07 17:14:00,1
2019-05-07 17:18:00,1
2019-05-07 17:20:00,1
2019-05-07 17:22:00,1
2019-05-07 17:32:00,1
2019-05-07 17:34:00,1
2019-05-07 17:41:00,1
2019-05-07 17:43:00,1
2019-05-07 17:50:00,1
2019-05-07 18:31:00,1
2019-05-07 18:44:00,2
2019-05-07 19:05:00,1
2019-05-07 19:07:00,1
2019-05-07 19:09:00,1
2019-05-07 19:20:00,1
2019-05-07 19:37:00,3
2019-05-07 19:54:00,2
2019-05-07 19:55:00,2
2019-05-07 19:57:00,1
2019-05-07 20:29:00,2
2019-05-07 20:30:00,1
2019-05-07 20:31:00,2
2019-05-07 20:33:00,1
2019-05-07 20:34:00,1
2019-05-07 20:37:00,1
2019-05-07 20:42:00,1
2019-05-07 21:09:00,2
2019-05-07 21:22:00,2
2019-05-07 21:23:00,1
2019-05-07 21:33:00,1
2019-05-07 21:37:00,2
2019-05-07 21:38:00,2
2019-05-07 21:39:00,2
2019-05-07 21:40:00,3
