30,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-06-17 00:42:00,1
2019-06-17 01:03:00,1
2019-06-17 01:19:00,1
2019-06-17 01:26:00,1
2019-06-17 01:56:00,14
2019-06-17 03:26:00,1
2019-06-17 04:09:00,1
2019-06-17 05:02:00,1
2019-06-17 09:16:00,1
2019-06-17 10:56:00,1
2019-06-17 11:06:00,1
2019-06-17 11:32:00,1
2019-06-17 12:04:00,1
2019-06-17 12:18:00,1
2019-06-17 13:38:00,1
2019-06-17 21:14:00,1
2019-06-17 21:52:00,1
