2214,"select objid,run,rerun,camcol,field,rowc,colc,petrorad_r,rowc_g,rowc_i,colc_g,colc_i from Galaxy where objid in (#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#) order by objid asc"
2019-06-17 17:09:00,94
2019-06-17 17:10:00,111
2019-06-17 17:11:00,105
2019-06-17 17:12:00,107
2019-06-17 17:13:00,106
2019-06-17 17:14:00,108
2019-06-17 17:15:00,106
2019-06-17 17:16:00,107
2019-06-17 17:17:00,94
2019-06-17 17:18:00,110
2019-06-17 17:19:00,110
2019-06-17 17:20:00,109
2019-06-17 17:21:00,115
2019-06-17 17:22:00,102
2019-06-17 17:23:00,108
2019-06-17 17:24:00,109
2019-06-17 17:25:00,110
2019-06-17 17:26:00,103
2019-06-17 17:27:00,105
2019-06-17 17:28:00,109
2019-06-17 17:29:00,86
