12,"select p.ra, p.dec, p.g, p.Err_g from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_g <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-06-17 08:21:00,1
2019-06-17 08:33:00,1
2019-06-17 08:52:00,1
2019-06-17 09:04:00,1
2019-06-17 09:24:00,1
2019-06-17 10:10:00,1
2019-06-17 11:46:00,1
2019-06-17 12:05:00,1
2019-06-17 12:56:00,1
2019-06-17 13:21:00,1
2019-06-17 14:01:00,1
2019-06-17 16:03:00,1
