224,select * from fDocFunctionParams(&&&)
2019-06-17 01:55:00,11
2019-06-17 01:56:00,8
2019-06-17 02:02:00,2
2019-06-17 02:10:00,1
2019-06-17 02:42:00,1
2019-06-17 02:57:00,1
2019-06-17 03:51:00,8
2019-06-17 03:54:00,2
2019-06-17 04:32:00,1
2019-06-17 05:12:00,1
2019-06-17 05:17:00,1
2019-06-17 05:25:00,1
2019-06-17 05:34:00,1
2019-06-17 05:41:00,1
2019-06-17 05:50:00,1
2019-06-17 06:14:00,1
2019-06-17 06:34:00,1
2019-06-17 06:42:00,1
2019-06-17 06:44:00,1
2019-06-17 06:47:00,1
2019-06-17 06:49:00,1
2019-06-17 06:50:00,1
2019-06-17 06:54:00,1
2019-06-17 06:56:00,1
2019-06-17 07:03:00,1
2019-06-17 07:09:00,1
2019-06-17 07:17:00,1
2019-06-17 07:24:00,2
2019-06-17 07:25:00,1
2019-06-17 07:26:00,1
2019-06-17 07:32:00,1
2019-06-17 07:38:00,1
2019-06-17 08:58:00,1
2019-06-17 09:08:00,1
2019-06-17 09:10:00,1
2019-06-17 09:11:00,1
2019-06-17 09:15:00,1
2019-06-17 09:16:00,1
2019-06-17 09:25:00,1
2019-06-17 09:35:00,1
2019-06-17 09:38:00,1
2019-06-17 09:53:00,1
2019-06-17 09:57:00,1
2019-06-17 10:11:00,2
2019-06-17 10:14:00,1
2019-06-17 10:36:00,1
2019-06-17 10:56:00,1
2019-06-17 11:10:00,1
2019-06-17 11:41:00,1
2019-06-17 11:59:00,1
2019-06-17 12:04:00,1
2019-06-17 12:13:00,1
2019-06-17 12:16:00,1
2019-06-17 12:21:00,1
2019-06-17 12:37:00,1
2019-06-17 12:40:00,1
2019-06-17 12:52:00,1
2019-06-17 12:53:00,1
2019-06-17 12:54:00,1
2019-06-17 12:59:00,1
2019-06-17 13:16:00,1
2019-06-17 13:17:00,2
2019-06-17 13:19:00,1
2019-06-17 13:20:00,1
2019-06-17 13:39:00,1
2019-06-17 13:41:00,1
2019-06-17 13:52:00,1
2019-06-17 13:57:00,1
2019-06-17 14:02:00,2
2019-06-17 14:06:00,1
2019-06-17 14:08:00,1
2019-06-17 14:11:00,1
2019-06-17 14:12:00,1
2019-06-17 14:13:00,1
2019-06-17 14:14:00,1
2019-06-17 14:25:00,2
2019-06-17 14:26:00,1
2019-06-17 14:27:00,1
2019-06-17 14:28:00,12
2019-06-17 14:31:00,2
2019-06-17 14:32:00,1
2019-06-17 14:34:00,1
2019-06-17 14:37:00,1
2019-06-17 14:39:00,1
2019-06-17 14:44:00,1
2019-06-17 15:07:00,2
2019-06-17 15:08:00,1
2019-06-17 15:10:00,1
2019-06-17 15:11:00,1
2019-06-17 15:14:00,1
2019-06-17 15:15:00,1
2019-06-17 15:19:00,2
2019-06-17 15:20:00,2
2019-06-17 15:30:00,1
2019-06-17 15:35:00,1
2019-06-17 15:37:00,2
2019-06-17 15:40:00,1
2019-06-17 15:42:00,1
2019-06-17 15:44:00,2
2019-06-17 15:48:00,1
2019-06-17 15:49:00,1
2019-06-17 15:50:00,1
2019-06-17 15:54:00,1
2019-06-17 15:56:00,1
2019-06-17 16:07:00,1
2019-06-17 16:08:00,10
2019-06-17 16:09:00,4
2019-06-17 16:12:00,1
2019-06-17 16:13:00,1
2019-06-17 16:18:00,1
2019-06-17 16:28:00,1
2019-06-17 16:31:00,1
2019-06-17 16:33:00,1
2019-06-17 16:48:00,1
2019-06-17 16:52:00,2
2019-06-17 17:02:00,1
2019-06-17 17:14:00,1
2019-06-17 17:19:00,1
2019-06-17 17:22:00,1
2019-06-17 17:23:00,1
2019-06-17 17:24:00,1
2019-06-17 17:26:00,1
2019-06-17 17:30:00,1
2019-06-17 17:49:00,1
2019-06-17 17:53:00,1
2019-06-17 18:17:00,1
2019-06-17 18:19:00,1
2019-06-17 18:31:00,1
2019-06-17 18:32:00,1
2019-06-17 18:39:00,1
2019-06-17 18:42:00,1
2019-06-17 18:44:00,1
2019-06-17 18:47:00,1
2019-06-17 19:11:00,1
2019-06-17 19:14:00,1
2019-06-17 19:17:00,1
2019-06-17 19:20:00,1
2019-06-17 19:40:00,1
2019-06-17 20:04:00,1
2019-06-17 20:16:00,1
2019-06-17 20:30:00,1
2019-06-17 20:32:00,1
2019-06-17 20:43:00,1
2019-06-17 20:56:00,1
2019-06-17 21:24:00,1
2019-06-17 21:29:00,1
2019-06-17 21:43:00,1
2019-06-17 21:44:00,1
2019-06-17 21:48:00,1
2019-06-17 21:56:00,1
2019-06-17 22:10:00,1
2019-06-17 22:14:00,1
2019-06-17 22:21:00,1
2019-06-17 22:22:00,1
2019-06-17 22:25:00,1
2019-06-17 22:26:00,1
2019-06-17 22:30:00,1
2019-06-17 22:44:00,1
2019-06-17 22:53:00,1
2019-06-17 22:59:00,1
2019-06-17 23:00:00,1
2019-06-17 23:01:00,1
2019-06-17 23:04:00,1
