12,"select p.ra, p.dec, p.z, p.Err_z from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_z <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-06-17 08:24:00,1
2019-06-17 08:36:00,1
2019-06-17 08:55:00,1
2019-06-17 09:07:00,1
2019-06-17 09:27:00,1
2019-06-17 10:12:00,1
2019-06-17 11:48:00,1
2019-06-17 12:08:00,1
2019-06-17 12:59:00,1
2019-06-17 13:24:00,1
2019-06-17 14:04:00,1
2019-06-17 16:06:00,1
