17,"SELECT S.objID, S.ra, S.dec, S.u, S.g, S.r, S.i, S.z, S.err_u, S.err_g, S.err_r, S.err_i, S.err_z   FROM Star as S   JOIN dbo.fGetNearbyObjEq(#, #, #) as SN   on S.objID = SN.objID   WHERE     ((S.flags_r & #) != #)     AND ((S.flags_r & #) = #)       AND (((S.flags_r & #) = #) or (S.psfmagerr_r <= #))       AND (((S.flags_r & #) = #) or (S.flags_r & #) = #)       AND ((S.flags_g & #) != #)     AND ((S.flags_g & #) = #)       AND (((S.flags_g & #) = #) or (S.psfmagerr_g <= #))       AND (((S.flags_g & #) = #) or (S.flags_g & #) = #)       AND ((S.flags_i & #) != #)     AND ((S.flags_i & #) = #)       AND (((S.flags_i & #) = #) or (S.psfmagerr_i <= #))       AND (((S.flags_i & #) = #) or (S.flags_i & #) = #)"
2019-06-17 16:59:00,1
2019-06-17 17:02:00,1
2019-06-17 17:05:00,1
2019-06-17 17:06:00,1
2019-06-17 17:18:00,1
2019-06-17 17:20:00,3
2019-06-17 17:50:00,1
2019-06-17 17:55:00,1
2019-06-17 18:07:00,1
2019-06-17 18:12:00,1
2019-06-17 18:17:00,1
2019-06-17 19:05:00,1
2019-06-17 19:11:00,1
2019-06-17 19:13:00,1
2019-06-17 19:15:00,1
