12,"select p.ra, p.dec, p.i, p.Err_i from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_i <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-06-17 08:23:00,1
2019-06-17 08:35:00,1
2019-06-17 08:54:00,1
2019-06-17 09:06:00,1
2019-06-17 09:26:00,1
2019-06-17 10:11:00,1
2019-06-17 11:47:00,1
2019-06-17 12:07:00,1
2019-06-17 12:58:00,1
2019-06-17 13:23:00,1
2019-06-17 14:03:00,1
2019-06-17 16:05:00,1
