12,"select p.ra, p.dec, p.r, p.Err_r from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_r <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-06-17 08:22:00,1
2019-06-17 08:34:00,1
2019-06-17 08:53:00,1
2019-06-17 09:05:00,1
2019-06-17 09:25:00,1
2019-06-17 10:10:00,1
2019-06-17 11:46:00,1
2019-06-17 12:06:00,1
2019-06-17 12:57:00,1
2019-06-17 13:22:00,1
2019-06-17 14:02:00,1
2019-06-17 16:04:00,1
