26,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-01-29 05:32:00,1
2019-01-29 05:33:00,1
2019-01-29 05:34:00,2
2019-01-29 05:52:00,1
2019-01-29 05:56:00,1
2019-01-29 09:12:00,3
2019-01-29 14:26:00,1
2019-01-29 14:27:00,1
2019-01-29 14:28:00,2
2019-01-29 15:00:00,1
2019-01-29 15:26:00,2
2019-01-29 15:38:00,2
2019-01-29 15:58:00,2
2019-01-29 17:20:00,1
2019-01-29 18:12:00,2
2019-01-29 18:38:00,1
2019-01-29 19:59:00,1
2019-01-29 20:00:00,1
