6,"SELECT TOP #  cast(str(p.ra,#,#) as float) as ra,cast(str(p.[dec],#,#) as float) as dec,p.u,p.g,p.r,p.i,p.z,p.modelMagErr_u,p.modelMagErr_g,p.modelMagErr_r,p.modelMagErr_i,p.modelMagErr_z,dbo.fIAUFromEq(p.ra,p.[dec]) as SDSSname,ISNULL(s.spectroFlux_u,#) as spectroFlux_u,ISNULL(s.spectroSynFlux_u,#) as spectroSynFlux_u,ISNULL(s.z,#) as redshift  FROM ..PhotoObj AS p  LEFT OUTER JOIN ..SpecObj s ON p.objID = s.bestObjID  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON p.objID = b.objID  WHERE ( p.type = # OR p.type = #)"
2019-01-29 05:38:00,2
2019-01-29 05:40:00,1
2019-01-29 05:41:00,1
2019-01-29 05:49:00,1
2019-01-29 06:29:00,1
