114,"SELECT aa_i,kk_i,airmass_i,gain_i FROM Field where run=# AND rerun=# AND camcol=# AND field=#"
2019-01-29 20:51:00,2
2019-01-29 20:52:00,4
2019-01-29 21:10:00,1
2019-01-29 21:12:00,1
2019-01-29 21:15:00,1
2019-01-29 21:18:00,1
2019-01-29 21:20:00,1
2019-01-29 21:22:00,1
2019-01-29 21:24:00,1
2019-01-29 21:26:00,1
2019-01-29 21:28:00,1
2019-01-29 21:30:00,1
2019-01-29 21:32:00,1
2019-01-29 21:35:00,1
2019-01-29 21:37:00,1
2019-01-29 21:39:00,1
2019-01-29 21:41:00,1
2019-01-29 21:43:00,1
2019-01-29 21:45:00,1
2019-01-29 21:46:00,1
2019-01-29 21:48:00,1
2019-01-29 21:49:00,1
2019-01-29 21:51:00,1
2019-01-29 21:53:00,1
2019-01-29 21:55:00,1
2019-01-29 21:56:00,1
2019-01-29 21:57:00,1
2019-01-29 21:59:00,1
2019-01-29 22:00:00,1
2019-01-29 22:02:00,1
2019-01-29 22:03:00,1
2019-01-29 22:04:00,1
2019-01-29 22:06:00,1
2019-01-29 22:07:00,1
2019-01-29 22:09:00,1
2019-01-29 22:10:00,1
2019-01-29 22:11:00,1
2019-01-29 22:12:00,1
2019-01-29 22:13:00,1
2019-01-29 22:14:00,1
2019-01-29 22:15:00,1
2019-01-29 22:17:00,1
2019-01-29 22:18:00,1
2019-01-29 22:19:00,1
2019-01-29 22:21:00,1
2019-01-29 22:22:00,1
2019-01-29 22:23:00,1
2019-01-29 22:25:00,1
2019-01-29 22:26:00,1
2019-01-29 22:27:00,1
2019-01-29 22:28:00,1
2019-01-29 22:30:00,1
2019-01-29 22:31:00,1
2019-01-29 22:32:00,1
2019-01-29 22:34:00,1
2019-01-29 22:35:00,1
2019-01-29 22:36:00,1
2019-01-29 22:37:00,1
2019-01-29 22:38:00,1
2019-01-29 22:39:00,1
2019-01-29 22:40:00,1
2019-01-29 22:42:00,1
2019-01-29 22:44:00,1
2019-01-29 22:45:00,1
2019-01-29 22:47:00,1
2019-01-29 22:48:00,1
2019-01-29 22:50:00,1
2019-01-29 22:51:00,1
2019-01-29 22:53:00,1
2019-01-29 22:54:00,1
2019-01-29 22:56:00,1
2019-01-29 22:57:00,1
2019-01-29 22:58:00,1
2019-01-29 23:00:00,1
2019-01-29 23:02:00,1
2019-01-29 23:04:00,1
2019-01-29 23:05:00,1
2019-01-29 23:06:00,1
2019-01-29 23:08:00,1
2019-01-29 23:09:00,1
2019-01-29 23:11:00,1
2019-01-29 23:12:00,1
2019-01-29 23:14:00,1
2019-01-29 23:16:00,1
2019-01-29 23:17:00,1
2019-01-29 23:19:00,1
2019-01-29 23:20:00,1
2019-01-29 23:21:00,1
2019-01-29 23:23:00,1
2019-01-29 23:25:00,1
2019-01-29 23:27:00,1
2019-01-29 23:29:00,1
2019-01-29 23:31:00,1
2019-01-29 23:32:00,1
2019-01-29 23:33:00,1
2019-01-29 23:35:00,1
2019-01-29 23:37:00,1
2019-01-29 23:38:00,1
2019-01-29 23:39:00,1
2019-01-29 23:41:00,1
2019-01-29 23:42:00,1
2019-01-29 23:44:00,1
2019-01-29 23:46:00,1
2019-01-29 23:48:00,1
2019-01-29 23:49:00,1
2019-01-29 23:51:00,1
2019-01-29 23:53:00,1
2019-01-29 23:55:00,1
2019-01-29 23:57:00,1
2019-01-29 23:59:00,1
