26,"SELECT TOP #   objID, ra, dec,   sqrt( power(rowv,#) + power(colv, #) ) as velocity   FROM PhotoObj   WHERE   (power(rowv,#) + power(colv, #)) > #   AND rowv != # and colv != #"
2019-12-05 00:07:00,1
2019-12-05 00:52:00,1
2019-12-05 01:10:00,1
2019-12-05 01:12:00,1
2019-12-05 01:15:00,1
2019-12-05 01:20:00,1
2019-12-05 01:29:00,1
2019-12-05 01:46:00,1
2019-12-05 01:57:00,1
2019-12-05 01:59:00,1
2019-12-05 02:55:00,1
2019-12-05 05:02:00,1
2019-12-05 05:07:00,1
2019-12-05 09:52:00,1
2019-12-05 09:53:00,1
2019-12-05 09:54:00,1
2019-12-05 10:52:00,1
2019-12-05 10:55:00,1
2019-12-05 11:03:00,1
2019-12-05 13:58:00,2
2019-12-05 13:59:00,1
2019-12-05 19:01:00,1
2019-12-05 20:32:00,1
2019-12-05 20:34:00,1
2019-12-05 20:36:00,1
