12,"SELECT TOP # u,g,r,i,z,ra,dec, flags_r  FROM Star  WHERE   ra BETWEEN # and # AND dec BETWEEN # and #  AND ((flags_r & #) != #)  AND ((flags_r & #) = #)   AND (((flags_r & #) = #) or (psfmagerr_r <= #))  AND (((flags_r & #) = #) or (flags_r & #) = #)"
2019-12-05 00:14:00,1
2019-12-05 01:04:00,1
2019-12-05 01:07:00,1
2019-12-05 01:48:00,1
2019-12-05 02:59:00,1
2019-12-05 05:09:00,1
2019-12-05 10:29:00,1
2019-12-05 10:58:00,1
2019-12-05 11:05:00,1
2019-12-05 15:03:00,1
2019-12-05 19:04:00,1
2019-12-05 20:53:00,1
