20,"SELECT sp.ra,sp.dec,sp.z,   sp.psfmag_i-sp.extinction_i AS mag_i,  peak,integr  FROM SpecPhoto AS sp   INNER JOIN FIRST AS f ON sp.objid = f.objid  WHERE   class = &&&"
2019-12-05 00:03:00,1
2019-12-05 00:05:00,1
2019-12-05 00:51:00,1
2019-12-05 01:52:00,1
2019-12-05 02:54:00,1
2019-12-05 05:12:00,1
2019-12-05 09:49:00,1
2019-12-05 09:50:00,2
2019-12-05 10:50:00,1
2019-12-05 11:16:00,1
2019-12-05 11:47:00,1
2019-12-05 13:56:00,2
2019-12-05 13:57:00,1
2019-12-05 19:16:00,1
2019-12-05 20:01:00,1
2019-12-05 20:28:00,1
2019-12-05 20:29:00,2
