12,"SELECT TOP #   modelMag_u, modelMag_g, objID   FROM Galaxy   WHERE   ( Flags & (dbo.fPhotoFlags(&&&) +   dbo.fPhotoFlags(&&&) +   dbo.fPhotoFlags(&&&)) ) = #   and petroRad_r < #   and ((modelMag_u - modelMag_g) - (psfMag_u - psfMag_g)) < #"
2019-12-05 00:15:00,1
2019-12-05 00:58:00,1
2019-12-05 01:05:00,1
2019-12-05 01:50:00,1
2019-12-05 03:00:00,1
2019-12-05 05:10:00,1
2019-12-05 10:30:00,1
2019-12-05 11:00:00,1
2019-12-05 11:06:00,1
2019-12-05 15:04:00,1
2019-12-05 20:54:00,1
2019-12-05 20:55:00,1
