76,select * from Photoz2 where objid=#
2019-12-05 02:29:00,1
2019-12-05 02:30:00,6
2019-12-05 02:31:00,4
2019-12-05 02:32:00,5
2019-12-05 02:33:00,5
2019-12-05 02:34:00,4
2019-12-05 02:35:00,5
2019-12-05 02:36:00,4
2019-12-05 02:37:00,2
2019-12-05 12:32:00,1
2019-12-05 13:21:00,1
2019-12-05 14:01:00,1
2019-12-05 14:07:00,1
2019-12-05 14:08:00,1
2019-12-05 14:09:00,3
2019-12-05 14:10:00,1
2019-12-05 19:55:00,2
2019-12-05 21:21:00,2
2019-12-05 21:22:00,1
2019-12-05 21:23:00,2
2019-12-05 21:29:00,5
2019-12-05 21:30:00,2
2019-12-05 21:31:00,4
2019-12-05 21:32:00,3
2019-12-05 21:37:00,2
2019-12-05 21:38:00,5
2019-12-05 21:39:00,3
