13,"SELECT TOP # s.ra, s.dec, s.psfmag_g, (s.psfmag_g - s.psfmag_r) as gmr,  pm.pmra, pm.pmdec, pm.pmraerr, pm.pmdecerr, pm.pml, pm.pmb FROM star s  JOIN propermotions pm ON s.objid = pm.objid WHERE  s.ra between #-# and #+#  and s.dec between #-# and #+#"
2019-12-05 00:15:00,1
2019-12-05 00:58:00,1
2019-12-05 01:05:00,1
2019-12-05 01:50:00,1
2019-12-05 02:10:00,1
2019-12-05 02:43:00,1
2019-12-05 03:00:00,1
2019-12-05 05:10:00,1
2019-12-05 10:30:00,1
2019-12-05 10:59:00,1
2019-12-05 11:06:00,1
2019-12-05 15:03:00,1
2019-12-05 20:54:00,1
