17,"SELECT TOP # p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type,pm.pmra, pm.pmdec FROM PhotoObj AS p JOIN propermotions pm ON p.objid = pm.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.g < #"
2019-12-05 11:42:00,1
2019-12-05 12:44:00,1
2019-12-05 12:49:00,1
2019-12-05 12:51:00,2
2019-12-05 12:52:00,1
2019-12-05 12:53:00,1
2019-12-05 12:56:00,1
2019-12-05 12:58:00,1
2019-12-05 12:59:00,1
2019-12-05 13:00:00,1
2019-12-05 13:02:00,2
2019-12-05 13:04:00,2
2019-12-05 13:06:00,1
2019-12-05 13:07:00,1
