12,"SELECT TOP # emline.fiberid as fiberID, emline.ra, emline.dec,  emline.z as z_noqso, emline.zerr as z_noqso_err,  emline.sigmaStars as emline_vdisp, emline.sigmaStarsErr as emline_vdisp_err,  pca.vdisp_median as pca_vdisp, pca.vdisp_err as pca_vdisp_err,  sp.veldisp as sp_vdisp, sp.veldisperr as sp_vdisp_err  FROM emissionLinesPort AS emline  JOIN stellarMassPCAWisc AS pca ON emline.specobjid = pca.specobjid  JOIN specObj as sp ON emline.specobjid = sp.specobjid  WHERE emline.plate = # AND emline.mjd = # AND pca.warning=#"
2019-12-05 00:17:00,1
2019-12-05 01:07:00,1
2019-12-05 01:51:00,1
2019-12-05 03:02:00,1
2019-12-05 05:12:00,1
2019-12-05 11:02:00,1
2019-12-05 11:03:00,1
2019-12-05 11:10:00,1
2019-12-05 15:38:00,1
2019-12-05 19:01:00,1
2019-12-05 19:10:00,1
2019-12-05 21:03:00,1
