118,"SELECT  p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-12-05 06:20:00,1
2019-12-05 06:25:00,1
2019-12-05 06:28:00,1
2019-12-05 06:48:00,1
2019-12-05 06:54:00,1
2019-12-05 08:46:00,1
2019-12-05 09:06:00,1
2019-12-05 09:07:00,1
2019-12-05 09:44:00,1
2019-12-05 09:56:00,1
2019-12-05 10:14:00,1
2019-12-05 10:16:00,1
2019-12-05 10:17:00,1
2019-12-05 10:18:00,1
2019-12-05 10:33:00,1
2019-12-05 10:36:00,1
2019-12-05 10:38:00,1
2019-12-05 10:43:00,1
2019-12-05 10:46:00,2
2019-12-05 10:48:00,1
2019-12-05 10:49:00,2
2019-12-05 10:50:00,1
2019-12-05 10:51:00,2
2019-12-05 10:52:00,1
2019-12-05 10:53:00,1
2019-12-05 10:54:00,2
2019-12-05 10:55:00,1
2019-12-05 10:56:00,2
2019-12-05 10:57:00,1
2019-12-05 10:58:00,3
2019-12-05 10:59:00,2
2019-12-05 11:01:00,2
2019-12-05 11:02:00,3
2019-12-05 11:04:00,1
2019-12-05 11:05:00,2
2019-12-05 11:07:00,2
2019-12-05 11:08:00,1
2019-12-05 11:09:00,2
2019-12-05 11:10:00,2
2019-12-05 11:12:00,1
2019-12-05 11:16:00,1
2019-12-05 11:19:00,1
2019-12-05 11:27:00,1
2019-12-05 11:32:00,1
2019-12-05 11:33:00,3
2019-12-05 11:34:00,3
2019-12-05 11:35:00,3
2019-12-05 11:36:00,2
2019-12-05 11:38:00,3
2019-12-05 12:04:00,1
2019-12-05 12:11:00,1
2019-12-05 12:18:00,1
2019-12-05 12:48:00,1
2019-12-05 13:17:00,1
2019-12-05 13:18:00,1
2019-12-05 13:24:00,1
2019-12-05 13:25:00,1
2019-12-05 13:26:00,1
2019-12-05 13:27:00,1
2019-12-05 13:31:00,2
2019-12-05 13:32:00,1
2019-12-05 13:33:00,1
2019-12-05 13:35:00,1
2019-12-05 13:36:00,2
2019-12-05 13:37:00,6
2019-12-05 13:38:00,1
2019-12-05 13:40:00,1
2019-12-05 13:41:00,1
2019-12-05 13:42:00,3
2019-12-05 13:43:00,2
2019-12-05 13:44:00,1
2019-12-05 13:45:00,1
2019-12-05 13:49:00,2
2019-12-05 13:55:00,1
2019-12-05 13:58:00,1
2019-12-05 14:09:00,1
2019-12-05 14:15:00,1
2019-12-05 14:16:00,1
2019-12-05 14:28:00,1
2019-12-05 14:39:00,1
2019-12-05 14:50:00,1
2019-12-05 15:03:00,1
2019-12-05 15:09:00,1
