13,"SELECT TOP # sp.objID,   sp.ra,   sp.dec,   sp.mjd,   px.taiBegin,   px.taiEnd,   sp.fiberID,   sp.z   FROM specPhoto AS sp   JOIN plateX AS px ON sp.plateID = px.plateID   WHERE   (sp.class=&&&)   AND sp.z > #"
2019-12-05 00:08:00,1
2019-12-05 00:26:00,1
2019-12-05 00:59:00,1
2019-12-05 01:15:00,1
2019-12-05 02:10:00,1
2019-12-05 08:34:00,1
2019-12-05 10:04:00,1
2019-12-05 11:02:00,1
2019-12-05 11:07:00,1
2019-12-05 12:53:00,1
2019-12-05 19:08:00,1
2019-12-05 19:52:00,1
2019-12-05 20:13:00,1
