38,"SELECT TOP # fld.run, fld.avg_sky_muJy, fld.runarea AS area, ISNULL(fp.nfirstmatch,#)  FROM (   SELECT run, sum(primaryArea) AS runarea,  #e6*avg(power(cast(#. as float),#*sky_r)) as avg_sky_muJy  FROM Field  GROUP BY run  ) AS fld  LEFT OUTER JOIN (   SELECT p.run, count(*) AS nfirstmatch  FROM FIRST AS fm  INNER JOIN photoprimary as p  ON p.objid=fm.objid  GROUP BY p.run  ) AS fp  ON fld.run=fp.run  ORDER BY fld.run"
2019-12-05 00:01:00,1
2019-12-05 00:13:00,1
2019-12-05 00:23:00,1
2019-12-05 00:42:00,1
2019-12-05 00:49:00,1
2019-12-05 00:51:00,1
2019-12-05 01:08:00,1
2019-12-05 01:19:00,1
2019-12-05 01:29:00,1
2019-12-05 01:38:00,1
2019-12-05 01:55:00,1
2019-12-05 02:17:00,1
2019-12-05 02:19:00,1
2019-12-05 02:22:00,1
2019-12-05 02:27:00,1
2019-12-05 02:36:00,1
2019-12-05 02:53:00,1
2019-12-05 09:12:00,1
2019-12-05 09:14:00,1
2019-12-05 09:16:00,1
2019-12-05 10:11:00,1
2019-12-05 10:13:00,1
2019-12-05 10:16:00,1
2019-12-05 10:21:00,1
2019-12-05 10:30:00,1
2019-12-05 10:47:00,1
2019-12-05 11:09:00,1
2019-12-05 11:11:00,2
2019-12-05 11:14:00,1
2019-12-05 11:19:00,1
2019-12-05 11:28:00,1
2019-12-05 11:45:00,1
2019-12-05 13:25:00,2
2019-12-05 13:26:00,1
2019-12-05 19:10:00,1
2019-12-05 20:25:00,1
