51,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.z BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-12-05 16:59:00,1
2019-12-05 17:15:00,1
2019-12-05 17:19:00,1
2019-12-05 17:24:00,1
2019-12-05 17:28:00,1
2019-12-05 17:32:00,1
2019-12-05 17:37:00,1
2019-12-05 17:46:00,1
2019-12-05 17:50:00,1
2019-12-05 17:53:00,1
2019-12-05 17:59:00,1
2019-12-05 18:14:00,1
2019-12-05 18:17:00,1
2019-12-05 18:22:00,1
2019-12-05 18:26:00,1
2019-12-05 18:30:00,1
2019-12-05 20:17:00,1
2019-12-05 20:27:00,2
2019-12-05 20:37:00,1
2019-12-05 20:38:00,1
2019-12-05 20:47:00,1
2019-12-05 20:48:00,1
2019-12-05 20:49:00,1
2019-12-05 20:50:00,1
2019-12-05 20:52:00,1
2019-12-05 20:56:00,1
2019-12-05 21:05:00,1
2019-12-05 21:09:00,1
2019-12-05 21:11:00,1
2019-12-05 22:06:00,1
2019-12-05 22:07:00,1
2019-12-05 22:08:00,1
2019-12-05 22:09:00,1
2019-12-05 22:11:00,1
2019-12-05 22:25:00,1
2019-12-05 22:28:00,1
2019-12-05 22:36:00,1
2019-12-05 22:59:00,1
2019-12-05 23:06:00,3
2019-12-05 23:12:00,1
2019-12-05 23:17:00,1
2019-12-05 23:29:00,1
2019-12-05 23:33:00,1
2019-12-05 23:36:00,1
2019-12-05 23:38:00,1
2019-12-05 23:41:00,1
2019-12-05 23:44:00,1
2019-12-05 23:56:00,1
