1100,"SELECT DISTINCT TOP # p.run, p.rerun, p.camcol, max(p.field) as &&&, max(p.ra) as &&&, max(p.dec) as &&& FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) GROUP BY p.run, p.rerun, p.camcol"
2019-12-05 14:46:00,2
2019-12-05 14:47:00,2
2019-12-05 14:48:00,1
2019-12-05 14:49:00,1
2019-12-05 15:01:00,2
2019-12-05 15:05:00,3
2019-12-05 15:06:00,2
2019-12-05 15:07:00,3
2019-12-05 15:08:00,2
2019-12-05 15:09:00,2
2019-12-05 15:14:00,2
2019-12-05 15:19:00,2
2019-12-05 15:26:00,2
2019-12-05 15:28:00,4
2019-12-05 15:29:00,4
2019-12-05 15:35:00,5
2019-12-05 15:37:00,4
2019-12-05 15:39:00,8
2019-12-05 15:40:00,2
2019-12-05 15:41:00,2
2019-12-05 15:44:00,2
2019-12-05 15:45:00,5
2019-12-05 15:46:00,2
2019-12-05 15:47:00,3
2019-12-05 15:48:00,1
2019-12-05 15:49:00,2
2019-12-05 15:50:00,3
2019-12-05 15:54:00,2
2019-12-05 15:55:00,6
2019-12-05 15:56:00,5
2019-12-05 15:57:00,3
2019-12-05 15:59:00,2
2019-12-05 16:00:00,2
2019-12-05 16:01:00,21
2019-12-05 16:07:00,9
2019-12-05 16:08:00,26
2019-12-05 16:09:00,2
2019-12-05 16:10:00,7
2019-12-05 16:16:00,7
2019-12-05 16:17:00,4
2019-12-05 16:18:00,3
2019-12-05 16:19:00,21
2019-12-05 16:24:00,21
2019-12-05 16:25:00,17
2019-12-05 16:26:00,33
2019-12-05 16:27:00,28
2019-12-05 16:33:00,7
2019-12-05 16:34:00,10
2019-12-05 16:35:00,2
2019-12-05 16:36:00,1
2019-12-05 16:37:00,19
2019-12-05 16:41:00,1
2019-12-05 16:42:00,1
2019-12-05 16:43:00,15
2019-12-05 16:44:00,1
2019-12-05 16:52:00,1
2019-12-05 16:56:00,1
2019-12-05 16:57:00,5
2019-12-05 16:58:00,2
2019-12-05 16:59:00,2
2019-12-05 17:00:00,4
2019-12-05 17:01:00,2
2019-12-05 17:02:00,3
2019-12-05 17:03:00,3
2019-12-05 17:04:00,5
2019-12-05 17:05:00,3
2019-12-05 17:06:00,2
2019-12-05 17:07:00,8
2019-12-05 17:08:00,9
2019-12-05 17:09:00,7
2019-12-05 17:10:00,7
2019-12-05 17:11:00,6
2019-12-05 17:12:00,3
2019-12-05 17:13:00,1
2019-12-05 17:14:00,20
2019-12-05 17:15:00,2
2019-12-05 17:16:00,7
2019-12-05 17:17:00,15
2019-12-05 17:18:00,22
2019-12-05 17:19:00,4
2019-12-05 17:20:00,16
2019-12-05 17:21:00,3
2019-12-05 17:22:00,1
2019-12-05 17:23:00,1
2019-12-05 17:24:00,7
2019-12-05 17:25:00,2
2019-12-05 17:26:00,4
2019-12-05 17:31:00,10
2019-12-05 17:32:00,6
2019-12-05 17:34:00,3
2019-12-05 17:36:00,2
2019-12-05 17:41:00,2
2019-12-05 17:42:00,6
2019-12-05 17:43:00,7
2019-12-05 17:45:00,2
2019-12-05 17:46:00,2
2019-12-05 17:47:00,8
2019-12-05 17:48:00,1
2019-12-05 17:49:00,1
2019-12-05 17:51:00,1
2019-12-05 17:52:00,2
2019-12-05 17:53:00,9
2019-12-05 17:59:00,2
2019-12-05 18:01:00,7
2019-12-05 18:02:00,2
2019-12-05 18:03:00,1
2019-12-05 18:04:00,1
2019-12-05 18:05:00,2
2019-12-05 18:06:00,2
2019-12-05 18:07:00,1
2019-12-05 18:11:00,1
2019-12-05 18:12:00,2
2019-12-05 18:13:00,2
2019-12-05 18:14:00,2
2019-12-05 18:15:00,2
2019-12-05 18:16:00,2
2019-12-05 18:17:00,1
2019-12-05 18:18:00,2
2019-12-05 18:19:00,4
2019-12-05 18:24:00,1
2019-12-05 18:30:00,2
2019-12-05 18:31:00,1
2019-12-05 18:32:00,1
2019-12-05 18:33:00,1
2019-12-05 18:35:00,1
2019-12-05 18:36:00,1
2019-12-05 18:37:00,2
2019-12-05 18:38:00,3
2019-12-05 18:39:00,1
2019-12-05 18:40:00,1
2019-12-05 18:41:00,1
2019-12-05 18:42:00,1
2019-12-05 18:44:00,1
2019-12-05 18:45:00,1
2019-12-05 18:48:00,1
2019-12-05 18:51:00,1
2019-12-05 18:52:00,1
2019-12-05 18:53:00,1
2019-12-05 18:54:00,1
2019-12-05 18:55:00,2
2019-12-05 18:57:00,1
2019-12-05 18:58:00,3
2019-12-05 18:59:00,1
2019-12-05 19:00:00,1
2019-12-05 19:01:00,1
2019-12-05 19:02:00,1
2019-12-05 19:04:00,2
2019-12-05 19:05:00,1
2019-12-05 19:06:00,2
2019-12-05 19:07:00,1
2019-12-05 19:08:00,1
2019-12-05 19:10:00,2
2019-12-05 19:11:00,1
2019-12-05 19:12:00,1
2019-12-05 19:13:00,2
2019-12-05 19:15:00,2
2019-12-05 19:17:00,1
2019-12-05 19:18:00,1
2019-12-05 19:19:00,2
2019-12-05 19:20:00,1
2019-12-05 19:21:00,1
2019-12-05 19:23:00,1
2019-12-05 19:24:00,2
2019-12-05 19:25:00,9
2019-12-05 19:26:00,1
2019-12-05 19:27:00,2
2019-12-05 19:28:00,1
2019-12-05 19:29:00,1
2019-12-05 19:30:00,5
2019-12-05 19:31:00,1
2019-12-05 19:32:00,1
2019-12-05 19:34:00,1
2019-12-05 19:35:00,1
2019-12-05 19:36:00,2
2019-12-05 19:37:00,4
2019-12-05 19:41:00,1
2019-12-05 19:42:00,2
2019-12-05 19:43:00,2
2019-12-05 19:44:00,2
2019-12-05 19:45:00,1
2019-12-05 19:46:00,2
2019-12-05 19:47:00,3
2019-12-05 19:50:00,5
2019-12-05 19:51:00,8
2019-12-05 19:52:00,1
2019-12-05 19:54:00,4
2019-12-05 19:59:00,1
2019-12-05 20:00:00,1
2019-12-05 20:02:00,6
2019-12-05 20:03:00,2
2019-12-05 20:08:00,1
2019-12-05 20:09:00,9
2019-12-05 20:11:00,13
2019-12-05 20:16:00,1
2019-12-05 20:17:00,1
2019-12-05 20:20:00,16
2019-12-05 20:21:00,2
2019-12-05 20:22:00,2
2019-12-05 20:23:00,1
2019-12-05 20:27:00,1
2019-12-05 20:29:00,1
2019-12-05 20:30:00,4
2019-12-05 20:34:00,2
2019-12-05 20:37:00,1
2019-12-05 20:38:00,1
2019-12-05 20:39:00,1
2019-12-05 20:42:00,1
2019-12-05 20:44:00,1
2019-12-05 20:45:00,1
2019-12-05 20:46:00,2
2019-12-05 20:47:00,1
2019-12-05 20:48:00,14
2019-12-05 20:54:00,1
2019-12-05 20:55:00,12
2019-12-05 20:56:00,2
2019-12-05 20:58:00,1
2019-12-05 20:59:00,2
2019-12-05 21:02:00,1
2019-12-05 21:03:00,1
2019-12-05 21:04:00,3
2019-12-05 21:05:00,1
2019-12-05 21:07:00,1
2019-12-05 21:09:00,1
2019-12-05 21:10:00,9
2019-12-05 21:15:00,3
2019-12-05 21:17:00,2
2019-12-05 21:21:00,3
2019-12-05 21:22:00,6
2019-12-05 21:27:00,2
2019-12-05 21:28:00,3
2019-12-05 21:29:00,1
2019-12-05 21:31:00,4
2019-12-05 21:32:00,4
2019-12-05 21:37:00,2
2019-12-05 21:38:00,2
2019-12-05 21:39:00,2
2019-12-05 21:41:00,1
2019-12-05 21:42:00,2
2019-12-05 21:43:00,2
2019-12-05 21:44:00,1
2019-12-05 21:45:00,1
2019-12-05 21:46:00,1
2019-12-05 21:47:00,1
2019-12-05 21:48:00,2
2019-12-05 21:52:00,2
2019-12-05 21:53:00,1
2019-12-05 21:54:00,1
2019-12-05 21:56:00,10
2019-12-05 21:59:00,1
2019-12-05 22:00:00,4
2019-12-05 22:02:00,1
2019-12-05 22:03:00,2
2019-12-05 22:04:00,1
2019-12-05 22:05:00,1
2019-12-05 22:06:00,2
2019-12-05 22:07:00,1
2019-12-05 22:08:00,4
2019-12-05 22:13:00,1
2019-12-05 22:15:00,11
2019-12-05 22:18:00,2
2019-12-05 22:19:00,1
2019-12-05 22:20:00,2
2019-12-05 22:21:00,1
2019-12-05 22:22:00,5
2019-12-05 22:28:00,1
2019-12-05 22:29:00,3
2019-12-05 22:30:00,26
2019-12-05 22:31:00,4
2019-12-05 22:36:00,3
2019-12-05 22:38:00,1
2019-12-05 22:41:00,1
2019-12-05 22:42:00,2
2019-12-05 22:45:00,1
2019-12-05 22:46:00,3
2019-12-05 22:47:00,3
2019-12-05 22:49:00,2
2019-12-05 22:50:00,1
2019-12-05 22:51:00,7
2019-12-05 22:57:00,1
2019-12-05 22:58:00,3
2019-12-05 22:59:00,2
2019-12-05 23:01:00,10
2019-12-05 23:02:00,1
2019-12-05 23:04:00,1
2019-12-05 23:05:00,1
2019-12-05 23:08:00,1
2019-12-05 23:09:00,2
2019-12-05 23:12:00,2
2019-12-05 23:13:00,1
2019-12-05 23:15:00,1
2019-12-05 23:16:00,1
2019-12-05 23:17:00,1
2019-12-05 23:18:00,2
2019-12-05 23:20:00,1
2019-12-05 23:22:00,1
2019-12-05 23:23:00,3
2019-12-05 23:24:00,1
2019-12-05 23:26:00,1
2019-12-05 23:27:00,1
2019-12-05 23:28:00,1
2019-12-05 23:29:00,1
2019-12-05 23:30:00,6
2019-12-05 23:34:00,1
2019-12-05 23:35:00,2
2019-12-05 23:36:00,2
2019-12-05 23:37:00,1
2019-12-05 23:38:00,2
2019-12-05 23:39:00,1
2019-12-05 23:40:00,1
2019-12-05 23:41:00,2
2019-12-05 23:42:00,1
2019-12-05 23:43:00,2
2019-12-05 23:44:00,3
2019-12-05 23:45:00,1
2019-12-05 23:47:00,2
2019-12-05 23:48:00,1
2019-12-05 23:50:00,2
2019-12-05 23:51:00,2
2019-12-05 23:53:00,1
2019-12-05 23:55:00,1
2019-12-05 23:57:00,1
2019-12-05 23:58:00,3
