11,"SELECT prim.bestObjId, prim.mjd AS PrimMJD, prim.plate AS PrimPlate,   other.mjd AS OtherMJD, other.plate AS OtherPlate,  prim.z AS PrimZ, other.z AS OtherZ, plate.programname FROM SpecObjAll prim  JOIN SpecObjAll other ON prim.bestObjId = other.bestObjId  JOIN platex AS plate ON other.plate = plate.plate AND other.mjd = plate.mjd WHERE other.bestObjId > #  AND prim.sciencePrimary = #  AND other.sciencePrimary = #  AND prim.z > # ORDER BY prim.bestObjId"
2019-12-05 00:13:00,1
2019-12-05 00:31:00,1
2019-12-05 01:18:00,1
2019-12-05 02:16:00,1
2019-12-05 09:12:00,1
2019-12-05 10:10:00,1
2019-12-05 11:09:00,1
2019-12-05 11:16:00,1
2019-12-05 13:24:00,1
2019-12-05 19:16:00,1
2019-12-05 20:20:00,1
