14,"SELECT TOP # t.thingid, t.ndetect, d.objid, p.psfMag_r, p.psfMagerr_r  FROM thingIndex AS t JOIN detectionindex AS d ON t.thingid = d.thingid JOIN Star AS p ON d.objid = p.objid WHERE t.ndetect > #"
2019-12-05 00:17:00,1
2019-12-05 01:07:00,1
2019-12-05 01:50:00,1
2019-12-05 03:02:00,1
2019-12-05 05:10:00,1
2019-12-05 11:02:00,1
2019-12-05 11:03:00,1
2019-12-05 11:06:00,1
2019-12-05 11:12:00,1
2019-12-05 15:38:00,1
2019-12-05 19:11:00,1
2019-12-05 21:03:00,1
2019-12-05 21:04:00,1
2019-12-05 21:06:00,1
