20,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-12-05 10:54:00,1
2019-12-05 15:41:00,1
2019-12-05 15:53:00,1
2019-12-05 18:03:00,1
2019-12-05 21:37:00,3
2019-12-05 21:38:00,7
2019-12-05 21:42:00,1
2019-12-05 22:02:00,1
2019-12-05 22:10:00,1
2019-12-05 22:22:00,1
2019-12-05 22:24:00,1
2019-12-05 22:25:00,1
