1484,select * from sqllogall2#_#_#h_to_#_#h where mm = # and dd = # and hh = #
2019-12-05 14:33:00,38
2019-12-05 14:34:00,36
2019-12-05 14:35:00,33
2019-12-05 14:36:00,32
2019-12-05 14:37:00,29
2019-12-05 14:38:00,29
2019-12-05 14:39:00,28
2019-12-05 14:40:00,23
2019-12-05 14:41:00,22
2019-12-05 14:42:00,21
2019-12-05 14:43:00,21
2019-12-05 14:44:00,21
2019-12-05 14:45:00,21
2019-12-05 14:46:00,21
2019-12-05 14:47:00,18
2019-12-05 14:48:00,17
2019-12-05 14:49:00,18
2019-12-05 14:50:00,17
2019-12-05 14:51:00,17
2019-12-05 14:52:00,17
2019-12-05 14:53:00,16
2019-12-05 14:54:00,15
2019-12-05 14:55:00,15
2019-12-05 14:56:00,15
2019-12-05 14:57:00,13
2019-12-05 14:58:00,13
2019-12-05 14:59:00,14
2019-12-05 15:00:00,11
2019-12-05 15:01:00,13
2019-12-05 15:02:00,14
2019-12-05 15:03:00,11
2019-12-05 15:04:00,13
2019-12-05 15:05:00,13
2019-12-05 15:06:00,12
2019-12-05 15:07:00,12
2019-12-05 15:08:00,12
2019-12-05 15:09:00,12
2019-12-05 15:10:00,12
2019-12-05 15:11:00,12
2019-12-05 15:12:00,11
2019-12-05 15:13:00,6
2019-12-05 15:46:00,19
2019-12-05 15:47:00,37
2019-12-05 15:48:00,36
2019-12-05 15:49:00,33
2019-12-05 15:50:00,32
2019-12-05 15:51:00,31
2019-12-05 15:52:00,29
2019-12-05 15:53:00,27
2019-12-05 15:54:00,27
2019-12-05 15:55:00,23
2019-12-05 15:56:00,24
2019-12-05 15:57:00,21
2019-12-05 15:58:00,19
2019-12-05 15:59:00,18
2019-12-05 16:00:00,16
2019-12-05 16:01:00,17
2019-12-05 16:02:00,18
2019-12-05 16:03:00,18
2019-12-05 16:04:00,11
2019-12-05 16:05:00,15
2019-12-05 16:06:00,16
2019-12-05 16:07:00,15
2019-12-05 16:08:00,15
2019-12-05 16:09:00,15
2019-12-05 16:10:00,16
2019-12-05 16:11:00,15
2019-12-05 16:12:00,16
2019-12-05 16:13:00,15
2019-12-05 16:14:00,14
2019-12-05 16:15:00,15
2019-12-05 16:16:00,15
2019-12-05 16:17:00,14
2019-12-05 16:18:00,15
2019-12-05 16:19:00,13
2019-12-05 16:20:00,14
2019-12-05 16:21:00,14
2019-12-05 16:22:00,13
2019-12-05 16:23:00,14
2019-12-05 16:24:00,5
