15,"SELECT TOP #   g,   run,   rerun,   camcol,   field,   objID   FROM Galaxy   WHERE ( (g <= #)   and (u - g >= #)   and (u - g < #)   and (g - r >= #)   and (g - r < #)   and (r - i >= #)   and (r - i < #)   and (i - z >= #)   and (i - z < #) )"
2019-12-05 00:03:00,1
2019-12-05 00:05:00,1
2019-12-05 00:51:00,1
2019-12-05 01:09:00,1
2019-12-05 01:51:00,1
2019-12-05 02:54:00,1
2019-12-05 05:12:00,1
2019-12-05 09:49:00,1
2019-12-05 10:49:00,1
2019-12-05 11:06:00,1
2019-12-05 11:46:00,1
2019-12-05 13:56:00,1
2019-12-05 19:01:00,1
2019-12-05 19:07:00,1
2019-12-05 20:28:00,1
