21,"SELECT count(*) as &&&,   sum( case when (Type=#) then # else # end) as &&&,  sum( case when (Type=#) then # else # end) as &&&,  sum( case when (Type not in (#,#)) then # else # end) as &&&  FROM PhotoPrimary   WHERE (( u - g > #) or (u > #) )   and ( i between # and # )   and ( g - r > # )   and ( (r - i < # + # * (g - r - #)) or (g - r > # ) )  and ( i - z < # )"
2019-12-05 00:09:00,1
2019-12-05 00:11:00,1
2019-12-05 00:27:00,1
2019-12-05 00:29:00,1
2019-12-05 01:01:00,1
2019-12-05 01:03:00,1
2019-12-05 01:06:00,1
2019-12-05 01:11:00,1
2019-12-05 01:16:00,1
2019-12-05 01:20:00,1
2019-12-05 01:37:00,1
2019-12-05 04:12:00,1
2019-12-05 08:36:00,1
2019-12-05 08:37:00,2
2019-12-05 10:08:00,1
2019-12-05 11:07:00,1
2019-12-05 13:23:00,1
2019-12-05 20:14:00,1
2019-12-05 20:16:00,1
2019-12-05 20:17:00,1
