272,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-08-15 05:00:00,8
2019-08-15 05:01:00,14
2019-08-15 05:02:00,15
2019-08-15 05:03:00,13
2019-08-15 05:04:00,6
2019-08-15 05:05:00,5
2019-08-15 05:06:00,7
2019-08-15 05:07:00,6
2019-08-15 05:08:00,6
2019-08-15 05:09:00,7
2019-08-15 05:10:00,6
2019-08-15 05:11:00,11
2019-08-15 05:12:00,14
2019-08-15 05:13:00,8
2019-08-15 05:14:00,8
2019-08-15 05:15:00,7
2019-08-15 05:16:00,7
2019-08-15 05:17:00,8
2019-08-15 05:18:00,8
2019-08-15 05:19:00,11
2019-08-15 05:20:00,14
2019-08-15 05:21:00,15
2019-08-15 05:22:00,14
2019-08-15 05:23:00,15
2019-08-15 05:24:00,14
2019-08-15 05:25:00,6
2019-08-15 05:26:00,7
2019-08-15 05:27:00,10
2019-08-15 05:28:00,2
