23,"select p.ObjID, p.ra, p.dec, p.u, p.Err_u, p.g, p.Err_g, p.r, p.Err_r, p.i,p.Err_i, p.z, p.Err_z from photoObj p, dbo.fGetNearbyObjEq(#,#,#) n where p.objID = n.objID AND p.type = #"
2019-08-15 00:00:00,1
2019-08-15 00:03:00,2
2019-08-15 00:05:00,1
2019-08-15 00:08:00,1
2019-08-15 00:09:00,1
2019-08-15 00:11:00,1
2019-08-15 00:13:00,1
2019-08-15 00:15:00,1
2019-08-15 00:58:00,1
2019-08-15 01:01:00,1
2019-08-15 01:08:00,1
2019-08-15 04:56:00,1
2019-08-15 04:58:00,1
2019-08-15 04:59:00,1
2019-08-15 05:01:00,1
2019-08-15 05:07:00,1
2019-08-15 05:08:00,1
2019-08-15 05:11:00,1
2019-08-15 05:12:00,1
2019-08-15 05:13:00,1
2019-08-15 05:20:00,1
2019-08-15 05:21:00,1
