17,"select p.ra, p.dec, p.r, p.Err_r from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_r <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-08-15 04:49:00,1
2019-08-15 04:59:00,2
2019-08-15 06:01:00,1
2019-08-15 06:50:00,1
2019-08-15 07:28:00,1
2019-08-15 07:36:00,1
2019-08-15 08:26:00,1
2019-08-15 08:41:00,1
2019-08-15 12:31:00,1
2019-08-15 12:33:00,1
2019-08-15 12:54:00,1
2019-08-15 13:47:00,1
2019-08-15 14:01:00,1
2019-08-15 14:05:00,1
2019-08-15 14:31:00,1
2019-08-15 14:47:00,1
