50,"SELECT TOP # p.objid,  p.type, p.ra, p.dec, p.g, distance  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID order by distance"
2019-08-15 16:48:00,1
2019-08-15 16:49:00,1
2019-08-15 16:50:00,2
2019-08-15 16:51:00,1
2019-08-15 16:52:00,2
2019-08-15 16:53:00,1
2019-08-15 16:54:00,1
2019-08-15 16:55:00,1
2019-08-15 16:56:00,2
2019-08-15 16:57:00,1
2019-08-15 16:58:00,1
2019-08-15 16:59:00,2
2019-08-15 17:00:00,1
2019-08-15 17:01:00,2
2019-08-15 17:02:00,1
2019-08-15 17:03:00,2
2019-08-15 17:04:00,1
2019-08-15 17:05:00,2
2019-08-15 17:06:00,1
2019-08-15 17:07:00,2
2019-08-15 17:08:00,1
2019-08-15 17:09:00,2
2019-08-15 17:10:00,1
2019-08-15 17:11:00,1
2019-08-15 17:12:00,2
2019-08-15 17:13:00,1
2019-08-15 17:14:00,1
2019-08-15 17:15:00,1
2019-08-15 17:16:00,2
2019-08-15 17:17:00,1
2019-08-15 17:18:00,2
2019-08-15 17:19:00,1
2019-08-15 17:20:00,1
2019-08-15 17:21:00,2
2019-08-15 17:22:00,1
2019-08-15 17:23:00,2
