4,"SELECT ra, dec, z, z_person, class, subClass INTO mydb.sdss1#galqso FROM SpecObj   WHERE ((class=&&& AND subClass!=&&& AND subClass!=&&&) OR (class=&&&)) AND zWarning=#"
2019-08-15 10:43:00,2
2019-08-15 10:46:00,2
