2504,"select ra,dec,l,b, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1#(psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i, #/SQRT(psfFluxIvar_z)/psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and #/SQRT(psfFluxIvar_u)/psfFlux_u < # and #/SQRT(psfFluxIvar_g)/psfFlux_g < # and #/SQRT(psfFluxIvar_r)/psfFlux_r < # and #/SQRT(psfFluxIvar_i)/psfFlux_i < # and #/SQRT(psfFluxIvar_z)/psfFlux_z < #"
2019-08-15 02:10:00,5
2019-08-15 02:11:00,5
2019-08-15 02:12:00,5
2019-08-15 02:13:00,8
2019-08-15 02:14:00,4
2019-08-15 02:15:00,4
2019-08-15 02:16:00,4
2019-08-15 02:17:00,6
2019-08-15 02:18:00,6
2019-08-15 02:19:00,4
2019-08-15 02:20:00,7
2019-08-15 02:21:00,7
2019-08-15 02:22:00,5
2019-08-15 02:23:00,6
2019-08-15 02:24:00,6
2019-08-15 02:25:00,5
2019-08-15 02:26:00,5
2019-08-15 02:27:00,5
2019-08-15 02:28:00,6
2019-08-15 02:29:00,4
2019-08-15 02:30:00,5
2019-08-15 02:31:00,6
2019-08-15 02:32:00,5
2019-08-15 02:33:00,6
2019-08-15 02:34:00,6
2019-08-15 02:35:00,7
2019-08-15 02:36:00,6
2019-08-15 02:37:00,6
2019-08-15 02:38:00,6
2019-08-15 02:39:00,6
2019-08-15 02:40:00,8
2019-08-15 02:41:00,7
2019-08-15 02:42:00,8
2019-08-15 02:43:00,6
2019-08-15 02:44:00,6
2019-08-15 02:45:00,8
2019-08-15 02:46:00,5
2019-08-15 02:47:00,4
2019-08-15 02:48:00,5
2019-08-15 02:49:00,6
2019-08-15 02:50:00,7
2019-08-15 02:51:00,9
2019-08-15 02:52:00,4
2019-08-15 02:53:00,7
2019-08-15 02:54:00,6
2019-08-15 02:55:00,7
2019-08-15 02:56:00,6
2019-08-15 02:57:00,6
2019-08-15 02:58:00,8
2019-08-15 02:59:00,7
2019-08-15 03:00:00,7
2019-08-15 03:01:00,7
2019-08-15 03:02:00,10
2019-08-15 03:03:00,6
2019-08-15 03:04:00,6
2019-08-15 03:05:00,2
2019-08-15 03:06:00,7
2019-08-15 03:07:00,7
2019-08-15 03:08:00,6
2019-08-15 03:09:00,5
2019-08-15 03:10:00,7
2019-08-15 03:11:00,5
2019-08-15 03:12:00,6
2019-08-15 03:13:00,6
2019-08-15 03:14:00,5
2019-08-15 03:15:00,7
2019-08-15 03:16:00,7
2019-08-15 03:17:00,7
2019-08-15 03:18:00,6
2019-08-15 03:19:00,8
2019-08-15 03:20:00,8
2019-08-15 03:21:00,7
2019-08-15 03:22:00,7
2019-08-15 03:23:00,6
2019-08-15 03:24:00,8
2019-08-15 03:25:00,6
2019-08-15 03:26:00,7
2019-08-15 03:27:00,5
2019-08-15 03:28:00,6
2019-08-15 03:29:00,5
2019-08-15 03:30:00,5
2019-08-15 03:31:00,7
2019-08-15 03:32:00,9
2019-08-15 03:33:00,6
2019-08-15 03:34:00,6
2019-08-15 03:35:00,9
2019-08-15 03:36:00,4
2019-08-15 03:37:00,5
2019-08-15 03:38:00,5
2019-08-15 03:39:00,4
2019-08-15 03:40:00,5
2019-08-15 03:41:00,5
2019-08-15 03:42:00,4
2019-08-15 03:43:00,4
2019-08-15 03:44:00,5
2019-08-15 03:45:00,5
2019-08-15 03:46:00,4
2019-08-15 03:47:00,4
2019-08-15 03:48:00,5
2019-08-15 03:49:00,5
2019-08-15 03:50:00,7
2019-08-15 03:51:00,2
2019-08-15 03:52:00,3
2019-08-15 03:53:00,5
2019-08-15 03:54:00,5
2019-08-15 03:55:00,3
2019-08-15 03:56:00,6
2019-08-15 03:57:00,4
2019-08-15 03:58:00,1
2019-08-15 03:59:00,5
2019-08-15 04:00:00,3
2019-08-15 04:01:00,8
2019-08-15 04:02:00,8
2019-08-15 04:03:00,7
2019-08-15 04:04:00,7
2019-08-15 04:05:00,7
2019-08-15 04:06:00,7
2019-08-15 04:07:00,9
2019-08-15 04:08:00,9
2019-08-15 04:09:00,6
2019-08-15 04:10:00,9
2019-08-15 04:11:00,8
2019-08-15 04:12:00,9
2019-08-15 04:13:00,10
2019-08-15 04:14:00,14
2019-08-15 04:15:00,14
2019-08-15 04:16:00,9
2019-08-15 04:17:00,8
2019-08-15 04:18:00,11
2019-08-15 04:19:00,15
2019-08-15 04:20:00,10
2019-08-15 04:21:00,11
2019-08-15 04:22:00,13
2019-08-15 04:23:00,13
2019-08-15 04:24:00,11
2019-08-15 04:25:00,9
2019-08-15 04:26:00,14
2019-08-15 04:27:00,15
2019-08-15 04:28:00,15
2019-08-15 04:29:00,20
2019-08-15 04:30:00,24
2019-08-15 04:31:00,21
2019-08-15 04:32:00,12
2019-08-15 04:33:00,15
2019-08-15 04:34:00,25
2019-08-15 04:35:00,25
2019-08-15 04:36:00,24
2019-08-15 04:37:00,22
2019-08-15 04:38:00,20
2019-08-15 04:39:00,22
2019-08-15 04:40:00,32
2019-08-15 04:41:00,36
2019-08-15 04:42:00,30
2019-08-15 04:43:00,41
2019-08-15 04:44:00,23
2019-08-15 04:45:00,34
2019-08-15 04:46:00,33
2019-08-15 04:47:00,39
2019-08-15 04:48:00,35
2019-08-15 04:49:00,45
2019-08-15 04:50:00,51
2019-08-15 04:51:00,43
2019-08-15 04:52:00,38
2019-08-15 04:53:00,50
2019-08-15 04:54:00,43
2019-08-15 04:55:00,50
2019-08-15 04:56:00,55
2019-08-15 04:57:00,52
2019-08-15 04:58:00,50
2019-08-15 04:59:00,57
2019-08-15 05:00:00,8
2019-08-15 05:01:00,4
2019-08-15 05:02:00,3
2019-08-15 05:03:00,4
2019-08-15 05:04:00,3
2019-08-15 05:05:00,3
2019-08-15 05:06:00,4
2019-08-15 05:07:00,4
2019-08-15 05:08:00,5
2019-08-15 05:09:00,5
2019-08-15 05:10:00,4
2019-08-15 05:11:00,3
2019-08-15 05:12:00,4
2019-08-15 05:13:00,5
2019-08-15 05:14:00,6
2019-08-15 05:15:00,5
2019-08-15 05:16:00,6
2019-08-15 05:17:00,4
2019-08-15 05:18:00,7
2019-08-15 05:19:00,6
2019-08-15 05:20:00,5
