2,"SELECT ra, dec, extinction_g, extinction_r, psfmag_u, psfmagerr_u, psfmag_g, psfmag_r, psfmagerr_g, psfmagerr_r, psfmag_i, psfmagerr_i, psfmag_z, psfmagerr_z from Star WHERE clean=# AND mode=# AND RA between # and # AND dec between # and #"
2019-08-15 22:10:00,1
2019-08-15 22:13:00,1
