22,"SELECT TOP # p.objid, p.ra,p.dec,p.petror9#_r, p.dered_g, s.z as z_spec, s.zErr, zns.nvote, zns.p_el as elliptical, zns.p_cw as spiralclock, zns.p_acw as spiralanticlock, zns.p_edge as edgeon, zns.p_dk as dontknow, zns.p_mg as merger   FROM Galaxy as p    JOIN ZooNoSpec AS zns ON p.objid = zns.objid    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.clean=# and zns.nvote >= # and zns.p_cw > #"
2019-02-25 10:02:00,1
2019-02-25 13:33:00,1
2019-02-25 13:49:00,1
2019-02-25 13:50:00,1
2019-02-25 13:52:00,1
2019-02-25 14:07:00,3
2019-02-25 14:08:00,2
2019-02-25 14:09:00,1
2019-02-25 14:10:00,2
2019-02-25 14:30:00,1
2019-02-25 16:54:00,1
2019-02-25 17:06:00,1
2019-02-25 17:28:00,1
2019-02-25 17:49:00,1
2019-02-25 17:52:00,1
2019-02-25 20:32:00,1
2019-02-25 20:42:00,1
2019-02-25 21:00:00,1
