57,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-02-25 04:30:00,1
2019-02-25 04:34:00,1
2019-02-25 11:23:00,1
2019-02-25 11:44:00,1
2019-02-25 11:45:00,1
2019-02-25 12:17:00,1
2019-02-25 12:18:00,2
2019-02-25 12:32:00,1
2019-02-25 12:33:00,2
2019-02-25 12:34:00,2
2019-02-25 12:35:00,2
2019-02-25 12:36:00,3
2019-02-25 12:37:00,2
2019-02-25 12:42:00,1
2019-02-25 12:43:00,3
2019-02-25 12:52:00,1
2019-02-25 12:53:00,2
2019-02-25 12:59:00,1
2019-02-25 13:02:00,1
2019-02-25 13:04:00,1
2019-02-25 13:09:00,1
2019-02-25 15:02:00,1
2019-02-25 15:05:00,1
2019-02-25 15:49:00,1
2019-02-25 15:51:00,1
2019-02-25 15:54:00,1
2019-02-25 16:45:00,1
2019-02-25 16:55:00,1
2019-02-25 16:57:00,1
2019-02-25 17:01:00,1
2019-02-25 17:07:00,1
2019-02-25 17:27:00,1
2019-02-25 17:32:00,1
2019-02-25 17:36:00,1
2019-02-25 17:39:00,1
2019-02-25 17:42:00,1
2019-02-25 17:45:00,1
2019-02-25 17:49:00,1
2019-02-25 17:53:00,1
2019-02-25 17:58:00,1
2019-02-25 18:07:00,1
2019-02-25 18:13:00,1
2019-02-25 18:17:00,1
2019-02-25 18:22:00,1
2019-02-25 18:28:00,1
2019-02-25 18:32:00,1
2019-02-25 18:39:00,1
