380,"select #, #, dbo.fIAUFromEq(#, #)"
2019-02-25 05:18:00,3
2019-02-25 05:19:00,11
2019-02-25 05:20:00,21
2019-02-25 05:21:00,19
2019-02-25 05:22:00,20
2019-02-25 05:23:00,20
2019-02-25 05:24:00,19
2019-02-25 05:25:00,14
2019-02-25 05:26:00,21
2019-02-25 05:27:00,17
2019-02-25 05:28:00,17
2019-02-25 05:29:00,14
2019-02-25 05:30:00,14
2019-02-25 05:31:00,15
2019-02-25 05:32:00,14
2019-02-25 05:33:00,11
2019-02-25 05:34:00,16
2019-02-25 05:35:00,13
2019-02-25 05:36:00,15
2019-02-25 05:37:00,13
2019-02-25 05:38:00,13
2019-02-25 05:39:00,16
2019-02-25 05:40:00,15
2019-02-25 05:41:00,14
2019-02-25 05:42:00,15
