2,"SELECT TOP # s.plate,s.mjd,s.fiberid FROM BESTDR7..SpecObj as s 	JOIN BESTDR7..PhotoObj AS p ON s.bestObjID = p.objID WHERE  s.z > # AND s.z < # AND ( p.type = # OR p.type = #)"
2019-02-25 16:34:00,1
2019-02-25 16:38:00,1
