17,"SELECT TOP # objID, ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, clean FROM StarTag WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND modelMag_r BETWEEN # AND # AND clean = #"
2019-02-25 21:02:00,1
2019-02-25 21:03:00,1
2019-02-25 21:04:00,1
2019-02-25 21:06:00,1
2019-02-25 21:07:00,1
2019-02-25 21:20:00,1
2019-02-25 21:32:00,1
2019-02-25 21:44:00,1
2019-02-25 21:56:00,1
2019-02-25 22:08:00,1
2019-02-25 22:19:00,1
2019-02-25 22:32:00,1
2019-02-25 22:43:00,1
2019-02-25 22:54:00,1
2019-02-25 23:58:00,1
2019-02-25 23:59:00,2
