1584,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.petroMag_u, p.petroMag_r, s.Z, s.class FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-02-25 10:42:00,5
2019-02-25 10:43:00,24
2019-02-25 10:45:00,16
2019-02-25 10:51:00,10
2019-02-25 10:52:00,114
2019-02-25 10:53:00,116
2019-02-25 10:54:00,114
2019-02-25 10:55:00,105
2019-02-25 10:56:00,113
2019-02-25 10:57:00,122
2019-02-25 10:58:00,119
2019-02-25 10:59:00,127
2019-02-25 11:00:00,121
2019-02-25 11:01:00,112
2019-02-25 11:02:00,119
2019-02-25 11:03:00,118
2019-02-25 11:04:00,119
2019-02-25 11:05:00,10
