1613,"SELECT objid, aperFlux7_u, aperFlux7Ivar_u, aperFlux7_g, aperFlux7Ivar_g, aperFlux7_r, aperFlux7Ivar_r, aperFlux7_i, aperFlux7Ivar_i, aperFlux7_z, aperFlux7Ivar_z FROM PhotoObj WHERE objid=#"
2019-02-25 10:46:00,8
2019-02-25 10:47:00,5
2019-02-25 10:48:00,26
2019-02-25 10:49:00,29
2019-02-25 10:50:00,4
2019-02-25 10:51:00,26
2019-02-25 10:52:00,35
2019-02-25 10:53:00,6
2019-02-25 10:54:00,6
2019-02-25 10:55:00,7
2019-02-25 10:56:00,3
2019-02-25 10:57:00,6
2019-02-25 10:58:00,5
2019-02-25 11:00:00,5
2019-02-25 11:01:00,14
2019-02-25 11:02:00,17
2019-02-25 11:03:00,23
2019-02-25 11:04:00,34
2019-02-25 11:05:00,19
2019-02-25 11:06:00,24
2019-02-25 11:07:00,7
2019-02-25 11:19:00,16
2019-02-25 11:20:00,20
2019-02-25 11:21:00,24
2019-02-25 11:22:00,25
2019-02-25 11:23:00,12
2019-02-25 11:24:00,15
2019-02-25 11:25:00,15
2019-02-25 11:26:00,14
2019-02-25 11:27:00,24
2019-02-25 11:28:00,22
2019-02-25 11:29:00,25
2019-02-25 11:30:00,16
2019-02-25 11:31:00,13
2019-02-25 12:16:00,4
2019-02-25 12:17:00,27
2019-02-25 12:18:00,16
2019-02-25 12:19:00,11
2019-02-25 12:20:00,21
2019-02-25 12:21:00,17
2019-02-25 12:22:00,20
2019-02-25 12:23:00,24
2019-02-25 12:24:00,18
2019-02-25 12:25:00,6
2019-02-25 12:26:00,10
2019-02-25 12:27:00,13
2019-02-25 12:28:00,17
2019-02-25 12:29:00,7
2019-02-25 12:30:00,3
2019-02-25 12:31:00,20
2019-02-25 12:32:00,15
2019-02-25 12:33:00,24
2019-02-25 12:34:00,18
2019-02-25 12:35:00,20
2019-02-25 12:36:00,21
2019-02-25 12:37:00,19
2019-02-25 12:38:00,25
2019-02-25 12:39:00,23
2019-02-25 12:40:00,12
2019-02-25 12:41:00,16
2019-02-25 12:42:00,9
2019-02-25 12:43:00,13
2019-02-25 12:44:00,15
2019-02-25 12:45:00,12
2019-02-25 12:46:00,10
2019-02-25 12:47:00,15
2019-02-25 12:48:00,16
2019-02-25 12:50:00,7
2019-02-25 12:51:00,5
2019-02-25 12:52:00,11
2019-02-25 12:53:00,8
2019-02-25 12:54:00,22
2019-02-25 12:55:00,15
2019-02-25 12:56:00,18
2019-02-25 12:57:00,10
2019-02-25 12:58:00,12
2019-02-25 12:59:00,9
2019-02-25 13:00:00,9
2019-02-25 13:01:00,10
2019-02-25 13:02:00,15
2019-02-25 13:03:00,9
2019-02-25 13:04:00,14
2019-02-25 13:05:00,13
2019-02-25 13:06:00,11
2019-02-25 13:07:00,14
2019-02-25 13:08:00,10
2019-02-25 13:09:00,11
2019-02-25 13:12:00,1
2019-02-25 13:13:00,2
2019-02-25 13:14:00,1
2019-02-25 13:17:00,2
2019-02-25 13:18:00,2
2019-02-25 13:19:00,8
2019-02-25 13:20:00,12
2019-02-25 13:21:00,7
2019-02-25 13:22:00,6
2019-02-25 13:23:00,8
2019-02-25 13:24:00,12
2019-02-25 13:25:00,26
2019-02-25 13:26:00,22
2019-02-25 13:27:00,22
2019-02-25 13:28:00,15
2019-02-25 13:29:00,10
2019-02-25 14:16:00,1
2019-02-25 14:17:00,5
2019-02-25 14:18:00,14
2019-02-25 14:19:00,11
2019-02-25 14:20:00,12
2019-02-25 14:21:00,12
2019-02-25 14:22:00,8
2019-02-25 14:23:00,9
2019-02-25 14:24:00,12
2019-02-25 14:25:00,7
2019-02-25 14:26:00,11
2019-02-25 14:27:00,7
2019-02-25 14:28:00,9
2019-02-25 14:29:00,11
2019-02-25 14:30:00,8
2019-02-25 14:31:00,6
2019-02-25 14:32:00,7
2019-02-25 14:33:00,7
