97,"SELECT ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,Err_u,Err_g,Err_r,Err_i,Err_z,flags_r,run   FROM Galaxy   WHERE   ra BETWEEN # and # AND dec BETWEEN # and #"
2019-02-25 00:02:00,1
2019-02-25 00:03:00,1
2019-02-25 00:06:00,1
2019-02-25 00:08:00,1
2019-02-25 00:13:00,1
2019-02-25 00:15:00,1
2019-02-25 00:19:00,1
2019-02-25 00:20:00,1
2019-02-25 00:26:00,1
2019-02-25 00:32:00,1
2019-02-25 00:34:00,1
2019-02-25 00:39:00,1
2019-02-25 00:44:00,1
2019-02-25 00:50:00,1
2019-02-25 00:56:00,1
2019-02-25 01:01:00,1
2019-02-25 01:06:00,1
2019-02-25 01:08:00,1
2019-02-25 01:11:00,1
2019-02-25 01:14:00,1
2019-02-25 01:19:00,1
2019-02-25 01:21:00,1
2019-02-25 01:27:00,1
2019-02-25 01:32:00,1
2019-02-25 01:37:00,1
2019-02-25 01:41:00,1
2019-02-25 01:44:00,1
2019-02-25 01:49:00,1
2019-02-25 01:55:00,1
2019-02-25 02:00:00,1
2019-02-25 02:05:00,1
2019-02-25 02:08:00,1
2019-02-25 02:13:00,1
2019-02-25 02:17:00,1
2019-02-25 02:20:00,1
2019-02-25 02:24:00,1
2019-02-25 02:30:00,1
2019-02-25 02:35:00,1
2019-02-25 02:40:00,1
2019-02-25 02:45:00,1
2019-02-25 02:49:00,1
2019-02-25 02:51:00,1
2019-02-25 02:56:00,1
2019-02-25 03:00:00,1
2019-02-25 03:01:00,1
2019-02-25 03:07:00,1
2019-02-25 03:10:00,1
2019-02-25 03:14:00,1
2019-02-25 03:20:00,1
2019-02-25 03:24:00,1
2019-02-25 03:26:00,2
2019-02-25 03:28:00,1
2019-02-25 03:31:00,1
2019-02-25 03:34:00,1
2019-02-25 03:40:00,1
2019-02-25 03:42:00,1
2019-02-25 03:45:00,1
2019-02-25 03:49:00,1
2019-02-25 03:54:00,2
2019-02-25 03:59:00,1
2019-02-25 04:01:00,1
2019-02-25 04:06:00,1
2019-02-25 04:11:00,2
2019-02-25 04:15:00,2
2019-02-25 04:20:00,1
2019-02-25 04:25:00,1
2019-02-25 04:30:00,1
2019-02-25 04:31:00,1
2019-02-25 04:36:00,1
2019-02-25 04:39:00,1
2019-02-25 04:44:00,1
2019-02-25 04:47:00,1
2019-02-25 04:52:00,1
2019-02-25 04:57:00,1
2019-02-25 05:02:00,1
2019-02-25 05:07:00,1
2019-02-25 05:11:00,1
2019-02-25 05:14:00,1
2019-02-25 05:19:00,1
2019-02-25 05:24:00,1
2019-02-25 05:30:00,1
2019-02-25 05:36:00,1
2019-02-25 05:40:00,1
2019-02-25 05:43:00,1
2019-02-25 05:47:00,1
2019-02-25 05:53:00,1
2019-02-25 05:55:00,1
2019-02-25 06:00:00,1
2019-02-25 06:03:00,2
2019-02-25 06:08:00,1
2019-02-25 06:11:00,1
2019-02-25 06:12:00,1
