21,"SELECT p.objid, p.ra, p.dec, f.fieldid, p.field, p.InsideMask, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, p.type, f.quality, p.specObjID, s.specObjID, s.class, s.subclass, s.ra, s.dec, s.plate, s.mjd, s.fiberID, s.run2d, dbo.fGetUrlSpecImg(s.specObjID) as png_url, dbo.fGetUrlFitsSpectrum(s.specObjID) as fits_url FROM PhotoPrimary AS p JOIN Field AS f ON f.fieldid = p.fieldid JOIN SpecObj as s ON p.objid = s.BestObjID WHERE (p.ra BETWEEN # AND #) AND p.dec BETWEEN # AND # AND (#/p.err_u > #) AND (#/p.err_g > #) AND (#/p.err_r > #) AND (#/p.err_i > #) AND (#/p.err_z > #) AND (p.type = dbo.fPhotoType(&&&)) AND (s.SNMEDIAN > #)"
2019-02-25 18:34:00,1
2019-02-25 18:38:00,2
2019-02-25 18:39:00,2
2019-02-25 18:40:00,4
2019-02-25 18:41:00,3
2019-02-25 18:42:00,3
2019-02-25 18:43:00,3
2019-02-25 18:54:00,1
2019-02-25 18:55:00,1
2019-02-25 19:07:00,1
