17,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and s.z BETWEEN # AND #"
2019-02-25 14:30:00,1
2019-02-25 14:34:00,1
2019-02-25 15:00:00,1
2019-02-25 15:11:00,1
2019-02-25 15:50:00,1
2019-02-25 15:54:00,1
2019-02-25 16:08:00,1
2019-02-25 16:18:00,1
2019-02-25 16:20:00,1
2019-02-25 16:28:00,1
2019-02-25 16:40:00,1
2019-02-25 16:43:00,1
2019-02-25 16:45:00,1
2019-02-25 16:48:00,1
2019-02-25 16:50:00,1
2019-02-25 16:57:00,1
2019-02-25 17:00:00,1
