29,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-08-07 04:28:00,1
2019-08-07 08:14:00,1
2019-08-07 11:47:00,1
2019-08-07 13:00:00,2
2019-08-07 13:02:00,5
2019-08-07 13:05:00,1
2019-08-07 16:26:00,1
2019-08-07 16:27:00,3
2019-08-07 23:04:00,1
2019-08-07 23:05:00,1
2019-08-07 23:07:00,1
2019-08-07 23:12:00,1
2019-08-07 23:13:00,2
2019-08-07 23:14:00,1
2019-08-07 23:15:00,1
2019-08-07 23:16:00,1
2019-08-07 23:18:00,1
2019-08-07 23:32:00,1
2019-08-07 23:38:00,1
2019-08-07 23:39:00,1
2019-08-07 23:40:00,1
